Date,Open,High,Low,Close,Volume,Adj Close,LM4DN
2000-01-01,11501.849609375,11750.2802734375,10701.6396484375,10940.5302734375,3854530000.0,10940.5302734375,1
2000-02-01,10937.740234375,11118.9296875,9836.0595703125,10128.3095703125,3661120000.0,10128.3095703125,1
2000-03-01,10128.1103515625,11234.650390625,9731.8095703125,10921.919921875,4754630000.0,10921.919921875,1
2000-04-01,10863.2802734375,11425.4501953125,10201.5302734375,10733.91015625,4049750000.0,10733.91015625,1
2000-05-01,10749.419921875,10971.240234375,10258.8095703125,10522.330078125,3816980000.0,10522.330078125,1
2000-06-01,10532.26953125,10863.0,10335.4599609375,10447.8896484375,3823590000.0,10447.8896484375,1
2000-07-01,10450.3603515625,10874.6298828125,10393.08984375,10521.98046875,3248880000.0,10521.98046875,1
2000-08-01,10523.8095703125,11319.0595703125,10516.759765625,11215.099609375,3620730000.0,11215.099609375,1
2000-09-01,11219.5400390625,11401.1904296875,10567.3203125,10650.919921875,4639930000.0,10650.919921875,1
2000-10-01,10659.0595703125,10995.41015625,9654.6396484375,10971.1396484375,6254820000.0,10971.1396484375,1
2000-11-01,10966.2099609375,11006.5,10292.3896484375,10414.490234375,4680310000.0,10414.490234375,1
2000-12-01,10416.759765625,10917.6796875,10299.2099609375,10787.990234375,5202580000.0,10787.990234375,1
2001-01-01,10790.919921875,11028.0,10468.0400390625,10887.3603515625,5825960000.0,10887.3603515625,1
2001-02-01,10884.8203125,11035.1396484375,10294.009765625,10495.2802734375,4164820000.0,10495.2802734375,1
2001-03-01,10493.25,10859.5,9106.5400390625,9878.7802734375,6086470000.0,9878.7802734375,1
2001-04-01,9877.16015625,10906.41015625,9375.7197265625,10734.9697265625,5241100000.0,10734.9697265625,1
2001-05-01,10734.0498046875,11350.0498046875,10673.2197265625,10911.9404296875,4518100000.0,10911.9404296875,1
2001-06-01,10913.5703125,11196.5302734375,10394.7197265625,10502.400390625,4914500000.0,10502.400390625,1
