order_datetime,order_type,item_code,item_name,order_value,order_count,DJI,avg_price,res_cash,hold,portfolio_value,buy,sell
2019-06-03,buy,133690,TIGER 미국나스닥100,165202074,4398,37563,37563,18518,4398,165220592,True,False
2019-06-28,sell,133690,TIGER 미국나스닥100,174525834,4398,39683,37563,174544352,0,174544352,False,True
2019-09-03,buy,133690,TIGER 미국나스닥100,174537468,4204,41517,41517,6884,4204,174544352,True,False
2019-09-30,sell,133690,TIGER 미국나스닥100,173780748,4204,41337,41517,173787632,0,173787632,False,True
2019-11-01,buy,133690,TIGER 미국나스닥100,173786589,4089,42501,42501,1043,4089,173787632,True,False
2019-11-29,sell,133690,TIGER 미국나스닥100,182451180,4089,44620,42501,182452223,0,182452223,False,True
2019-12-02,buy,133690,TIGER 미국나스닥100,182421510,4071,44810,44810,30713,4071,182452223,True,False
2019-12-30,sell,133690,TIGER 미국나스닥100,185759730,4071,45630,44810,185790443,0,185790443,False,True
2020-02-03,buy,133690,TIGER 미국나스닥100,185779940,3814,48710,48710,10503,3814,185790443,True,False
2020-02-28,sell,133690,TIGER 미국나스닥100,171630000,3814,45000,48710,171640503,0,171640503,False,True
2020-03-02,buy,133690,TIGER 미국나스닥100,171627525,3765,45585,45585,12978,3765,171640503,True,False
2020-03-31,sell,133690,TIGER 미국나스닥100,161349075,3765,42855,45585,161362053,0,161362053,False,True
2020-04-01,buy,133690,TIGER 미국나스닥100,161344790,3859,41810,41810,17263,3859,161362053,True,False
2020-04-29,sell,133690,TIGER 미국나스닥100,185868735,3859,48165,41810,185885998,0,185885998,False,True
2020-07-01,buy,133690,TIGER 미국나스닥100,185861925,3405,54585,54585,24073,3405,185885998,True,False
2020-07-31,sell,133690,TIGER 미국나스닥100,197592150,3405,58030,54585,197616223,0,197616223,False,True
