Date,CSUSHPINSA,CSUSHPINSArate
2008-01-01,171.082,
2008-02-01,169.195,-0.011029798576121408
2008-03-01,167.907,-0.007612518100416521
2008-04-01,167.328,-0.0034483374725294835
2008-05-01,167.02599999999995,-0.0018048384012242513
2008-06-01,166.544,-0.002885778262066596
2008-07-01,165.72099999999998,-0.004941637044865277
2008-08-01,164.28599999999997,-0.008659131914482754
2008-09-01,161.91899999999995,-0.014407801029911349
2008-10-01,159.168,-0.016989976469716006
2008-11-01,156.076,-0.0194260152794532
2008-12-01,152.549,-0.02259796509392853
2009-01-01,149.36700000000005,-0.02085887157569022
2009-02-01,147.623,-0.01167593912979481
2009-03-01,146.52,-0.007471735434180227
2009-04-01,146.94899999999996,0.0029279279279275094
2009-05-01,148.17600000000004,0.008349835657269544
2009-06-01,149.80100000000004,0.010966688262606716
2009-07-01,150.749,0.006328395671590714
2009-08-01,150.666,-0.0005505840834765241
2009-09-01,149.625,-0.006909322607622115
2009-10-01,148.585,-0.006950710108604818
2009-11-01,147.942,-0.0043274893158797845
2009-12-01,146.67,-0.008597964066999308
2010-01-01,145.003,-0.011365650780664094
2010-02-01,143.055,-0.013434204809555483
2010-03-01,143.597,0.0037887525776798547
2010-04-01,145.40200000000004,0.012569900485386531
2010-05-01,147.037,0.011244687143230125
2010-06-01,147.702,0.004522671164400638
2010-07-01,147.56,-0.000961395241770524
2010-08-01,146.422,-0.007712117104906491
2010-09-01,144.602,-0.012429826119025766
2010-10-01,143.124,-0.010221158766822058
2010-11-01,141.817,-0.009131941533215837
2010-12-01,140.63299999999998,-0.008348787521947454
2011-01-01,139.046,-0.011284691359780386
2011-02-01,137.743,-0.009370999525336932
2011-03-01,137.793,0.0003629948527330562
2011-04-01,139.158,0.009906163593215833
2011-05-01,140.688,0.01099469667572106
2011-06-01,141.941,0.008906232230183164
2011-07-01,142.34,0.002811027116900622
2011-08-01,141.783,-0.003913165659688134
2011-09-01,140.164,-0.01141885839628165
2011-10-01,138.404,-0.012556719271710204
2011-11-01,136.659,-0.012608017109332126
2011-12-01,135.162,-0.010954273044585294
2012-01-01,134.165,-0.007376333584883432
2012-02-01,133.996,-0.0012596429769312634
2012-03-01,135.86700000000002,0.013963103376220198
2012-04-01,138.47299999999998,0.019180522128257493
2012-05-01,141.049,0.01860290453734681
2012-06-01,143.168,0.015023147984033924
2012-07-01,144.278,0.007753129190880559
2012-08-01,144.701,0.002931839920154111
2012-09-01,144.356,-0.0023842267848874776
2012-10-01,143.968,-0.0026877996065283183
2012-11-01,143.964,-2.778395198921313e-05
2012-12-01,143.871,-0.0006459948320413078
2013-01-01,144.311,0.0030582952784090622
2013-02-01,145.158,0.005869268454933962
2013-03-01,147.96,0.01930310420369552
2013-04-01,150.974,0.02037037037037015
2013-05-01,153.869,0.019175487169976302
