Date,NEWORDER,NEWORDERrate
2008-01-01,68327.0,
2008-02-01,66639.0,-0.024704728730955527
2008-03-01,66473.0,-0.00249103377901827
2008-04-01,69532.0,0.04601868427782718
2008-05-01,68680.0,-0.012253350975090616
2008-06-01,67801.0,-0.012798485730926012
2008-07-01,67546.0,-0.003761006474830797
2008-08-01,66182.0,-0.0201936458117431
2008-09-01,63660.0,-0.038107038167477514
2008-10-01,59476.0,-0.0657241595978636
2008-11-01,60592.0,0.018763871141300736
2008-12-01,55677.0,-0.0811163189860048
2009-01-01,49642.0,-0.10839305278660849
2009-02-01,50266.0,0.012570001208654036
2009-03-01,49105.0,-0.023097123304022582
2009-04-01,46980.0,-0.04327461561959067
2009-05-01,48750.0,0.037675606641123904
2009-06-01,50579.0,0.03751794871794867
2009-07-01,50949.0,0.007315288953913646
2009-08-01,49897.0,-0.020648099079471627
2009-09-01,52915.0,0.060484598272441126
2009-10-01,51997.0,-0.017348577907965623
2009-11-01,53032.0,0.019904994518914476
2009-12-01,54468.0,0.027077990647156325
2010-01-01,52324.0,-0.0393625615040023
2010-02-01,53488.0,0.02224600565705992
2010-03-01,56255.0,0.05173122943463948
2010-04-01,52467.0,-0.06733623677895295
2010-05-01,57284.0,0.091810090151905
2010-06-01,59629.0,0.04093638712380421
2010-07-01,56376.0,-0.05455399218501067
2010-08-01,58455.0,0.03687739463601525
2010-09-01,59882.0,0.02441194080916942
2010-10-01,57529.0,-0.03929394475802417
2010-11-01,60725.0,0.055554589859027725
2010-12-01,61945.0,0.02009057225195554
2011-01-01,60825.0,-0.01808055533134234
2011-02-01,59167.0,-0.027258528565556883
2011-03-01,62155.0,0.05050112393732986
2011-04-01,61512.0,-0.010345104979486819
2011-05-01,63953.0,0.03968331382494483
2011-06-01,63572.0,-0.005957500039091235
2011-07-01,64650.0,0.01695715094695771
2011-08-01,64543.0,-0.0016550657385924206
2011-09-01,65654.0,0.017213330647785297
2011-10-01,67577.0,0.029289913790477407
2011-11-01,65015.0,-0.03791230744188112
2011-12-01,68761.0,0.05761747289087138
2012-01-01,67493.0,-0.018440685853899685
2012-02-01,69932.0,0.036137080882461925
2012-03-01,69528.0,-0.005777040553680668
2012-04-01,67727.0,-0.025903233229777944
2012-05-01,69172.0,0.021335656385193413
2012-06-01,66841.0,-0.033698606372520645
2012-07-01,65239.0,-0.02396732544396407
2012-08-01,63683.0,-0.023850764113490408
2012-09-01,63886.0,0.003187663897743498
2012-10-01,66249.0,0.036987759446514
2012-11-01,66575.0,0.004920828993645099
2012-12-01,66680.0,0.0015771686068344337
2013-01-01,69427.0,0.04119676064787048
2013-02-01,65868.0,-0.051262477134256135
2013-03-01,65687.0,-0.0027479200825893946
2013-04-01,67329.0,0.02499733585032038
2013-05-01,68816.0,0.022085579765034336
2013-06-01,68874.0,0.0008428272494769296
2013-07-01,66019.0,-0.04145250747742257
2013-08-01,65714.0,-0.0046198821551372005
2013-09-01,66280.0,0.008613080926438865
2013-10-01,64813.0,-0.022133373566686765
2013-11-01,68058.0,0.05006711616496684
2013-12-01,67476.0,-0.008551529577713102
2014-01-01,67762.0,0.004238544074930406
2014-02-01,67070.0,-0.010212213334907516
2014-03-01,68342.0,0.018965260175935583
2014-04-01,66364.0,-0.028942670685669136
2014-05-01,65673.0,-0.010412271713579613
2014-06-01,69509.0,0.05841061014419924
2014-07-01,67494.0,-0.02898905177746769
2014-08-01,68369.0,0.012964115328770065
2014-09-01,69193.0,0.012052245900920022
2014-10-01,65659.0,-0.05107453066061596
2014-11-01,63627.0,-0.030947775628626717
2014-12-01,65706.0,0.032674807864585764
2015-01-01,64937.0,-0.011703649590600551
2015-02-01,64192.0,-0.011472658114788148
2015-03-01,64407.0,0.0033493270189430824
2015-04-01,64131.0,-0.004285248497834071
2015-05-01,62340.0,-0.027927211488983472
2015-06-01,63624.0,0.02059672762271414
2015-07-01,63441.0,-0.0028762731044889023
2015-08-01,63405.0,-0.000567456376791009
2015-09-01,63298.0,-0.0016875640722340268
2015-10-01,63356.0,0.0009163006730070755
2015-11-01,62334.0,-0.01613106888061111
2015-12-01,60537.0,-0.028828568678409883
2016-01-01,61074.0,0.008870608057881979
2016-02-01,60710.0,-0.005959982971477262
2016-03-01,59891.0,-0.013490364025695922
2016-04-01,60168.0,0.0046250688751230395
2016-05-01,58923.0,-0.020692062225767804
2016-06-01,59059.0,0.002308097007959642
2016-07-01,59333.0,0.004639428368241827
2016-08-01,60984.0,0.02782599902246652
2016-09-01,58991.0,-0.03268070313524862
2016-10-01,59052.0,0.0010340560424471068
2016-11-01,58969.0,-0.0014055408792250645
2016-12-01,59072.0,0.0017466804592243257
2017-01-01,61202.0,0.03605769230769229
2017-02-01,61363.0,0.00263063298585009
2017-03-01,61541.0,0.002900770822808596
2017-04-01,61763.0,0.003607351196763142
2017-05-01,61509.0,-0.0041124945355633935
2017-06-01,60755.0,-0.012258368694012312
2017-07-01,61558.0,0.013217019175376432
2017-08-01,61667.0,0.0017706878066214848
2017-09-01,63859.0,0.03554575380673608
2017-10-01,63801.0,-0.0009082509904633218
2017-11-01,63309.0,-0.007711477876522266
2017-12-01,63596.0,0.004533320696899379
2018-01-01,62956.0,-0.010063526007925039
2018-02-01,62836.0,-0.0019060931444183637
2018-03-01,63326.0,0.007798077535170922
2018-04-01,64637.0,0.020702397119666482
2018-05-01,64510.0,-0.0019648189117688064
2018-06-01,66115.0,0.024879863587040862
2018-07-01,68474.0,0.035680254102699926
2018-08-01,65799.0,-0.039065922832023814
