Date,High,Low,Open,Close,Volume,Adj Close
2000-01-01,11522.009765625,11305.6904296875,11501.849609375,11357.509765625,169750000.0,11357.509765625
2000-02-01,11073.3203125,10907.9599609375,10937.740234375,11041.0498046875,183110000.0,11041.0498046875
2000-03-01,10186.330078125,10084.5595703125,10128.1103515625,10137.9296875,216780000.0,10137.9296875
2000-04-01,11223.7900390625,10862.9697265625,10863.2802734375,11221.9296875,279950000.0,11221.9296875
2000-05-01,10926.259765625,10724.2197265625,10749.419921875,10811.7802734375,174020000.0,10811.7802734375
2000-06-01,10673.4501953125,10513.080078125,10532.26953125,10652.2001953125,183990000.0,10652.2001953125
2000-07-01,10565.6201171875,10422.080078125,10450.3603515625,10560.669921875,74690000.0,10560.669921875
2000-08-01,10626.919921875,10516.759765625,10523.8095703125,10606.9501953125,151420000.0,10606.9501953125
2000-09-01,11313.599609375,11219.5400390625,11219.5400390625,11238.7802734375,125140000.0,11238.7802734375
2000-10-01,10721.2197265625,10631.3203125,10659.0595703125,10700.1298828125,215090000.0,10700.1298828125
2000-11-01,10993.509765625,10838.0400390625,10966.2099609375,10899.4697265625,249720000.0,10899.4697265625
2000-12-01,10524.4501953125,10348.7001953125,10416.759765625,10373.5400390625,301730000.0,10373.5400390625
2001-01-01,10797.01953125,10585.3603515625,10790.919921875,10646.150390625,253300000.0,10646.150390625
2001-02-01,10983.7998046875,10864.169921875,10884.8203125,10983.6298828125,221680000.0,10983.6298828125
2001-03-01,10493.25,10302.8896484375,10493.25,10450.1396484375,259030000.0,10450.1396484375
2001-04-01,9992.5302734375,9705.0703125,9877.16015625,9777.9296875,237210000.0,9777.9296875
2001-05-01,10904.2001953125,10731.4501953125,10734.0498046875,10898.33984375,203770000.0,10898.33984375
2001-06-01,11021.5703125,10835.490234375,10913.5703125,10990.41015625,196260000.0,10990.41015625
2001-07-01,10638.8701171875,10467.3798828125,10504.9501953125,10593.7197265625,215830000.0,10593.7197265625
2001-08-01,10599.9599609375,10484.2001953125,10527.3798828125,10510.009765625,201290000.0,10510.009765625
2001-09-01,10182.3798828125,9894.8798828125,9946.98046875,9997.490234375,262020000.0,9997.490234375
2001-10-01,8850.669921875,8732.1396484375,8845.9697265625,8836.830078125,247430000.0,8836.830078125
2001-11-01,9284.4501953125,9014.4599609375,9087.4501953125,9263.900390625,256480000.0,9263.900390625
2001-12-01,9848.9296875,9703.900390625,9848.9296875,9763.9599609375,223660000.0,9763.9599609375
2002-01-01,10074.01953125,9935.7001953125,10021.7099609375,10073.400390625,203990000.0,10073.400390625
2002-02-01,9943.9404296875,9860.6904296875,9923.0400390625,9907.259765625,228390000.0,9907.259765625
2002-03-01,10374.8798828125,10111.0400390625,10111.0400390625,10368.8603515625,261080000.0,10368.8603515625
2002-04-01,10402.0703125,10263.6796875,10402.0703125,10362.7001953125,173820000.0,10362.7001953125
2002-05-01,10086.6103515625,9830.669921875,9944.900390625,10059.6298828125,262390000.0,10059.6298828125
2002-06-01,9986.490234375,9704.1796875,9923.9404296875,9709.7900390625,221400000.0,9709.7900390625
2002-07-01,9327.4404296875,9106.8896484375,9239.25,9109.7900390625,258620000.0,9109.7900390625
2002-08-01,8734.3095703125,8479.900390625,8732.580078125,8506.6201171875,306600000.0,8506.6201171875
2002-09-01,8659.26953125,8304.2998046875,8659.26953125,8308.0498046875,267290000.0,8308.0498046875
2002-10-01,7940.58984375,7593.0400390625,7593.0400390625,7938.7900390625,339910000.0,7938.7900390625
2002-11-01,8542.26953125,8309.5,8395.6396484375,8517.6396484375,281290000.0,8517.6396484375
2002-12-01,9043.3701171875,8787.150390625,8902.9501953125,8862.5703125,282090000.0,8862.5703125
2003-01-01,8608.26953125,8342.3798828125,8342.3798828125,8607.51953125,243910000.0,8607.51953125
2003-02-01,8152.080078125,8053.740234375,8053.740234375,8109.81982421875,221770000.0,8109.81982421875
2003-03-01,7981.4599609375,7822.72998046875,7890.240234375,7837.85986328125,216370000.0,7837.85986328125
2003-04-01,8100.52978515625,7979.68994140625,7992.830078125,8069.85986328125,263590000.0,8069.85986328125
2003-05-01,8488.349609375,8340.23046875,8478.48046875,8454.25,198580000.0,8454.25
2003-06-01,9003.26953125,8851.4501953125,8851.4501953125,8897.8095703125,261750000.0,8897.8095703125
2003-07-01,9050.8203125,8871.2001953125,8983.66015625,9040.9501953125,230460000.0,9040.9501953125
