Date,High,Low,Open,Close,Volume,Adj Close,year,month,buy,sell
2016-09-01,36400.0,35700.0,36400.0,36100.0,1713669.0,34266.95703125,2016,9,0,0
2016-09-02,36700.0,35950.0,36100.0,36650.0,1828390.0,34789.02734375,2016,9,0,0
2016-09-05,37500.0,36850.0,36900.0,37500.0,2337575.0,35595.8671875,2016,9,0,0
2016-09-06,38000.0,37350.0,37750.0,38000.0,2123160.0,36070.48046875,2016,9,0,0
2016-09-07,38800.0,37900.0,38200.0,37900.0,3786844.0,35975.55859375,2016,9,0,0
2016-09-08,38700.0,37900.0,37900.0,38700.0,3698781.0,36734.9375,2016,9,0,0
2016-09-09,39000.0,38350.0,38550.0,38950.0,2748415.0,36972.2421875,2016,9,0,0
2016-09-12,38300.0,37000.0,37500.0,37000.0,4885896.0,35121.25390625,2016,9,0,0
2016-09-13,38300.0,37500.0,37600.0,37800.0,3928646.0,35880.63671875,2016,9,0,0
2016-09-19,39450.0,38250.0,38700.0,39200.0,5283684.0,37209.546875,2016,9,0,0
2016-09-20,39450.0,38750.0,39200.0,39250.0,2594490.0,37257.0078125,2016,9,0,0
2016-09-21,39150.0,38650.0,39000.0,39150.0,1731450.0,37162.0859375,2016,9,0,0
2016-09-22,39800.0,39150.0,39800.0,39400.0,3214630.0,37399.390625,2016,9,0,0
2016-09-23,39650.0,39050.0,39550.0,39350.0,2095120.0,37351.9296875,2016,9,0,0
2016-09-26,39500.0,38800.0,39350.0,39500.0,1669862.0,37494.3125,2016,9,0,0
2016-09-27,41150.0,39150.0,39400.0,41150.0,4001505.0,39060.53125,2016,9,0,0
2016-09-28,42000.0,40950.0,41300.0,41200.0,4189804.0,39107.9921875,2016,9,0,0
2016-09-29,40750.0,40150.0,40600.0,40200.0,3976705.0,38158.7734375,2016,9,0,0
2016-09-30,40950.0,39600.0,39750.0,40200.0,3764773.0,38158.7734375,2016,9,0,0
2016-10-04,41800.0,41000.0,41500.0,41800.0,3639803.0,39677.52734375,2016,10,0,0
2016-10-05,42950.0,41200.0,42150.0,42600.0,4387312.0,40436.90234375,2016,10,0,0
2016-10-06,43150.0,42400.0,43100.0,42550.0,2815496.0,40389.44140625,2016,10,0,0
2016-10-07,42700.0,41900.0,42700.0,42200.0,2637734.0,40057.21484375,2016,10,0,0
2016-10-10,42500.0,41200.0,42200.0,41300.0,2916252.0,39202.9140625,2016,10,0,0
2016-10-11,42000.0,41100.0,41300.0,41300.0,2810503.0,39202.9140625,2016,10,0,0
2016-10-12,41900.0,41000.0,41000.0,41250.0,3521492.0,39155.453125,2016,10,0,0
2016-10-13,41700.0,40950.0,41450.0,40950.0,3638071.0,38870.6875,2016,10,0,0
2016-10-14,41900.0,41200.0,41300.0,41550.0,2708972.0,39440.22265625,2016,10,0,0
2016-10-17,42300.0,41400.0,41750.0,42300.0,2314725.0,40152.13671875,2016,10,0,0
2016-10-18,42300.0,41300.0,42200.0,41650.0,2559222.0,39535.14453125,2016,10,0,0
2016-10-19,41450.0,39850.0,41150.0,40050.0,5033246.0,38016.390625,2016,10,0,0
2016-10-20,40300.0,38850.0,40250.0,40050.0,5423960.0,38016.390625,2016,10,0,0
2016-10-21,41000.0,39500.0,39500.0,40950.0,2436212.0,38870.6875,2016,10,0,0
2016-10-24,41150.0,39850.0,41000.0,40150.0,2211109.0,38111.3125,2016,10,0,0
2016-10-25,41650.0,40200.0,40350.0,41050.0,4469224.0,38965.609375,2016,10,0,0
2016-10-26,42900.0,41300.0,41300.0,42900.0,6364037.0,40721.671875,2016,10,0,0
2016-10-27,43600.0,42600.0,42900.0,43000.0,4814197.0,40816.59375,2016,10,0,0
2016-10-28,42950.0,42100.0,42700.0,42450.0,2251179.0,40294.51953125,2016,10,0,0
2016-10-31,42900.0,41000.0,42500.0,41000.0,3297943.0,38918.1484375,2016,10,0,0
2016-11-01,42350.0,41600.0,41700.0,42000.0,3173446.0,39867.37109375,2016,11,1,0
2016-11-02,41400.0,40450.0,41250.0,41000.0,2822651.0,38918.1484375,2016,11,0,0
2016-11-03,41700.0,40700.0,40900.0,41150.0,2580396.0,39060.53125,2016,11,0,0
2016-11-04,41400.0,40850.0,41150.0,41200.0,2600930.0,39107.9921875,2016,11,0,0
2016-11-07,42050.0,41200.0,41800.0,41500.0,2033220.0,39392.76171875,2016,11,0,0
2016-11-08,42150.0,41250.0,42100.0,41500.0,1882987.0,39392.76171875,2016,11,0,0
2016-11-09,41750.0,38700.0,41650.0,39650.0,5779291.0,37636.69921875,2016,11,0,0
2016-11-10,41050.0,40500.0,41000.0,41000.0,2520434.0,38918.1484375,2016,11,0,0
2016-11-11,40450.0,39550.0,40000.0,39850.0,2962651.0,37826.54296875,2016,11,0,0
