Date,HOUST,HOUSTrate
2000-01-01,1636.0,-0.042154566744730726
2000-02-01,1737.0,0.061735941320293364
2000-03-01,1604.0,-0.07656879677605066
2000-04-01,1626.0,0.013715710723191998
2000-05-01,1575.0,-0.03136531365313655
2000-06-01,1559.0,-0.010158730158730145
2000-07-01,1463.0,-0.061577934573444515
2000-08-01,1541.0,0.05331510594668498
2000-09-01,1507.0,-0.022063595068137598
2000-10-01,1549.0,0.02786994027869949
2000-11-01,1551.0,0.0012911555842478606
2000-12-01,1532.0,-0.012250161186331376
2001-01-01,1600.0,0.044386422976501416
2001-02-01,1625.0,0.015625
2001-03-01,1590.0,-0.021538461538461506
2001-04-01,1649.0,0.037106918238993813
2001-05-01,1605.0,-0.0266828380836871
2001-06-01,1636.0,0.019314641744548222
2001-07-01,1670.0,0.020782396088019572
2001-08-01,1567.0,-0.06167664670658679
2001-09-01,1562.0,-0.0031908104658583403
2001-10-01,1540.0,-0.014084507042253502
2001-11-01,1602.0,0.04025974025974022
2001-12-01,1568.0,-0.02122347066167296
2002-01-01,1698.0,0.08290816326530615
2002-02-01,1829.0,0.07714958775029457
2002-03-01,1642.0,-0.10224166211044283
2002-04-01,1592.0,-0.030450669914738104
2002-05-01,1764.0,0.1080402010050252
2002-06-01,1717.0,-0.026643990929705264
2002-07-01,1655.0,-0.03610949330227142
2002-08-01,1633.0,-0.013293051359516639
2002-09-01,1804.0,0.10471524800979792
2002-10-01,1648.0,-0.0864745011086474
2002-11-01,1753.0,0.06371359223300965
2002-12-01,1788.0,0.01996577296063884
2003-01-01,1853.0,0.03635346756152136
2003-02-01,1629.0,-0.1208850512682137
2003-03-01,1726.0,0.05954573357888271
2003-04-01,1643.0,-0.0480880648899189
2003-05-01,1751.0,0.06573341448569692
2003-06-01,1867.0,0.0662478583666477
2003-07-01,1897.0,0.016068559185859588
2003-08-01,1833.0,-0.03373748023194523
2003-09-01,1939.0,0.05782869612656838
2003-10-01,1967.0,0.014440433212996373
2003-11-01,2083.0,0.05897305541433662
2003-12-01,2057.0,-0.012481997119539123
2004-01-01,1911.0,-0.07097715119105497
2004-02-01,1846.0,-0.03401360544217691
2004-03-01,1998.0,0.08234019501625145
2004-04-01,2003.0,0.0025025025025025016
2004-05-01,1981.0,-0.010983524712930626
2004-06-01,1828.0,-0.07723372034326093
2004-07-01,2002.0,0.09518599562363228
2004-08-01,2024.0,0.01098901098901095
2004-09-01,1905.0,-0.058794466403162104
2004-10-01,2072.0,0.08766404199475075
2004-11-01,1782.0,-0.13996138996138996
2004-12-01,2042.0,0.14590347923681257
2005-01-01,2144.0,0.049951028403526054
2005-02-01,2207.0,0.029384328358208922
2005-03-01,1864.0,-0.15541458994109647
2005-04-01,2061.0,0.1056866952789699
2005-05-01,2025.0,-0.017467248908296984
2005-06-01,2068.0,0.021234567901234458
2005-07-01,2054.0,-0.0067698259187620735
2005-08-01,2095.0,0.019961051606621316
2005-09-01,2151.0,0.02673031026252981
2005-10-01,2065.0,-0.03998140399814043
2005-11-01,2147.0,0.03970944309927371
2005-12-01,1994.0,-0.07126222636236612
2006-01-01,2273.0,0.1399197592778334
2006-02-01,2119.0,-0.06775186977562697
2006-03-01,1969.0,-0.07078810759792353
2006-04-01,1821.0,-0.07516505840528187
2006-05-01,1942.0,0.0664470071389347
2006-06-01,1802.0,-0.07209062821833156
2006-07-01,1737.0,-0.03607103218645946
2006-08-01,1650.0,-0.050086355785837644
2006-09-01,1720.0,0.042424242424242475
2006-10-01,1491.0,-0.13313953488372088
2006-11-01,1570.0,0.052984574111334615
2006-12-01,1649.0,0.05031847133757972
2007-01-01,1409.0,-0.14554275318374776
2007-02-01,1480.0,0.0503903477643719
2007-03-01,1495.0,0.010135135135135087
2007-04-01,1490.0,-0.0033444816053511683
2007-05-01,1415.0,-0.05033557046979864
2007-06-01,1448.0,0.023321554770318054
2007-07-01,1354.0,-0.06491712707182318
2007-08-01,1330.0,-0.017725258493353047
2007-09-01,1183.0,-0.1105263157894737
2007-10-01,1264.0,0.06846999154691469
2007-11-01,1197.0,-0.053006329113924
2007-12-01,1037.0,-0.1336675020885547
2008-01-01,1084.0,0.045323047251687454
2008-02-01,1103.0,0.017527675276752808
2008-03-01,1005.0,-0.08884859474161377
2008-04-01,1013.0,0.007960199004975133
2008-05-01,973.0,-0.03948667324777888
2008-06-01,1046.0,0.07502569373072965
2008-07-01,923.0,-0.11759082217973227
2008-08-01,844.0,-0.08559046587215602
2008-09-01,820.0,-0.028436018957345932
2008-10-01,777.0,-0.05243902439024395
2008-11-01,652.0,-0.16087516087516085
2008-12-01,560.0,-0.14110429447852757
2009-01-01,490.0,-0.125
2009-02-01,582.0,0.18775510204081636
2009-03-01,505.0,-0.13230240549828176
2009-04-01,478.0,-0.05346534653465351
2009-05-01,540.0,0.12970711297071125
2009-06-01,585.0,0.08333333333333326
2009-07-01,594.0,0.01538461538461533
2009-08-01,586.0,-0.013468013468013518
2009-09-01,585.0,-0.0017064846416382506
2009-10-01,534.0,-0.0871794871794872
2009-11-01,588.0,0.101123595505618
2009-12-01,581.0,-0.011904761904761862
2010-01-01,614.0,0.05679862306368322
2010-02-01,604.0,-0.016286644951140072
2010-03-01,636.0,0.052980132450331174
2010-04-01,687.0,0.08018867924528306
2010-05-01,583.0,-0.15138282387190682
2010-06-01,536.0,-0.0806174957118353
2010-07-01,546.0,0.018656716417910557
2010-08-01,599.0,0.09706959706959717
2010-09-01,594.0,-0.008347245409014992
2010-10-01,543.0,-0.08585858585858586
