Date,KORCPIALLMINMEI,KORCPIALLMINMEIrate
2011-05-01,94.345,0.001932818623026078
2011-06-01,94.527,0.0019290900418675871
2011-07-01,94.982,0.004813439546373033
2011-08-01,95.62,0.0067170621802026265
2011-09-01,95.529,-0.0009516837481698959
2011-10-01,95.347,-0.001905180625778602
2011-11-01,95.438,0.0009544086337274216
2011-12-01,95.802,0.0038139944257005176
2012-01-01,96.184,0.003987390659902612
2012-02-01,96.549,0.003794809947600619
2012-03-01,96.576,0.0002796507472888621
2012-04-01,96.567,-9.319085487080603e-05
2012-05-01,96.74,0.001791502273033263
2012-06-01,96.603,-0.001416167045689476
2012-07-01,96.385,-0.002256658695899638
2012-08-01,96.831,0.004627276028427607
2012-09-01,97.523,0.007146471687785816
2012-10-01,97.341,-0.0018662264286373187
2012-11-01,96.995,-0.0035545145416626678
2012-12-01,97.168,0.0017835970926336486
2013-01-01,97.751,0.005999917668368271
2013-02-01,98.078,0.0033452343198534518
2013-03-01,97.987,-0.0009278329492853343
2013-04-01,97.851,-0.001387939216426659
2013-05-01,97.851,0.0
2013-06-01,97.732,-0.001216134735465113
2013-07-01,97.942,0.0021487332705765194
2013-08-01,98.288,0.003532703028322981
2013-09-01,98.479,0.0019432687611915522
2013-10-01,98.179,-0.0030463347515713446
2013-11-01,98.16,-0.00019352407337625
2013-12-01,98.279,0.001212306438467703
2014-01-01,98.807,0.0053724600372409
2014-02-01,99.071,0.002671875474409724
2014-03-01,99.253,0.0018370663463576076
2014-04-01,99.317,0.0006448167813566386
2014-05-01,99.481,0.0016512782303130802
2014-06-01,99.353,-0.0012866778580834515
2014-07-01,99.499,0.0014695077149156077
2014-08-01,99.672,0.0017387109418185442
2014-09-01,99.608,-0.0006421061080342794
2014-10-01,99.308,-0.003011806280620033
2014-11-01,99.108,-0.0020139364401660087
2014-12-01,99.098,-0.00010090002825202671
2015-01-01,99.77,0.00678116611838786
2015-02-01,99.71,-0.0006013831813170833
2015-03-01,99.72,0.0001002908434459826
2015-04-01,99.75,0.00030084235860416975
2015-05-01,100.03,0.0028070175438597023
2015-06-01,100.05,0.00019994001799461536
2015-07-01,100.23,0.0017991004497752705
2015-08-01,100.37,0.0013967873890052829
2015-09-01,100.11,-0.0025904154627877096
2015-10-01,100.11,0.0
2015-11-01,99.92,-0.001897912296473847
2015-12-01,100.22,0.0030024019215371123
2016-01-01,100.39,0.0016962682099381787
2016-02-01,100.82,0.0042832951489191196
2016-03-01,100.56,-0.002578853402102621
2016-04-01,100.75,0.001889419252187663
2016-05-01,100.81,0.0005955334987592931
2016-06-01,100.79,-0.0001983930165657677
2016-07-01,100.6,-0.001885107649568507
2016-08-01,100.86,0.0025844930417495693
2016-09-01,101.46,0.005948839976204656
2016-10-01,101.6,0.001379854129706315
2016-11-01,101.45,-0.0014763779527557919
2016-12-01,101.56,0.0010842779694431037
2017-01-01,102.64,0.010634107916502433
2017-02-01,102.92,0.002727981293842552
2017-03-01,102.85,-0.0006801399144967801
2017-04-01,102.72,-0.0012639766650461848
2017-05-01,102.83,0.0010708722741432641
2017-06-01,102.61,-0.0021394534668870424
2017-07-01,102.78,0.0016567586005262758
2017-08-01,103.37,0.005740416423428707
2017-09-01,103.49,0.0011608783979877302
2017-10-01,103.39,-0.0009662769349695344
2017-11-01,102.62,-0.007447528774542911
2017-12-01,102.99,0.0036055349834338557
2018-01-01,103.42,0.004175162637149343
2018-02-01,104.21,0.007638754592921959
2018-03-01,104.1,-0.0010555608866711363
2018-04-01,104.29,0.001825168107588926
2018-05-01,104.34,0.0004794323520951327
2018-06-01,104.13,-0.002012650948821193
2018-07-01,103.93,-0.0019206760779792997
2018-08-01,104.85,0.008852111998460366
2018-09-01,105.65,0.007629947544110838
2018-10-01,105.46,-0.0017983909133933995
2018-11-01,104.71,-0.007111701118907687
2018-12-01,104.35,-0.0034380670423073134
2019-01-01,104.24,-0.001054144705318616
2019-02-01,104.69,0.004316960859554797
2019-03-01,104.49,-0.0019104021396504356
2019-04-01,104.87,0.003636711647047708
2019-05-01,105.05,0.001716410794316614
2019-06-01,104.88,-0.001618277010947189
2019-07-01,104.56,-0.0030511060259343914
2019-08-01,104.81,0.002390971690895194
2019-09-01,105.2,0.003721018986737823
2019-10-01,105.46,0.002471482889733645
2019-11-01,104.87,-0.005594538213540612
2019-12-01,,
2020-01-01,,
2020-02-01,,
