Date,XTIMVA01KRM667S,XTIMVA01KRM667Srate
2000-01-01,13173038611.023401,0.12031043884404169
2000-02-01,12742180027.6603,-0.03270760802314454
2000-03-01,13325321082.3734,0.04576462217981825
2000-04-01,13574553487.574598,0.018703669777299536
2000-05-01,13038285401.82,-0.03950539413657095
2000-06-01,13126136509.3071,0.00673793407489276
2000-07-01,14051804560.475601,0.07052098311732125
2000-08-01,13609980718.8837,-0.03144249834178936
2000-09-01,13859270093.2876,0.0183166588956305
2000-10-01,13987962297.6845,0.00928564084043848
2000-11-01,13758785712.7806,-0.016383843481036275
2000-12-01,12836716798.8382,-0.06701673630150995
2001-01-01,12497771598.463902,-0.026404352895358363
2001-02-01,13551165025.192701,0.08428650007160243
2001-03-01,12370670117.3907,-0.08711390538063457
2001-04-01,11193185579.1252,-0.09518356945030737
2001-05-01,11366302481.9555,0.015466276477462682
2001-06-01,11923838786.7126,0.04905168638985402
2001-07-01,11194888011.1128,-0.06113390063710944
2001-08-01,11473232179.8007,0.024863506308557604
2001-09-01,12410710314.4212,0.0817100290422943
2001-10-01,11198264957.7675,-0.09769347007035067
2001-11-01,11212478751.7826,0.00126928538203952
2001-12-01,11041191565.1325,-0.01527647814921107
2002-01-01,11367089282.6679,0.029516535023680568
2002-02-01,11143217708.8941,-0.019694714117812984
2002-03-01,11665533260.7971,0.04687295586858253
2002-04-01,12291510242.1586,0.053660382887522395
2002-05-01,12507363087.5468,0.017561132939372115
2002-06-01,12404625834.430399,-0.00821414173373558
2002-07-01,12872408769.2043,0.037710362329149705
2002-08-01,13255773692.3079,0.029781910284014224
2002-09-01,13494684238.0053,0.018023130995064918
2002-10-01,13445534004.3907,-0.0036421921956630854
2002-11-01,13873343188.7514,0.03181793926674814
2002-12-01,13878552655.2384,0.00037550188272028606
2003-01-01,14518782056.5759,0.04613084788029731
2003-02-01,14742944305.512999,0.015439466483042397
2003-03-01,15434783633.2695,0.04692680874455957
2003-04-01,14428600887.789999,-0.06518930030937953
2003-05-01,13589082045.527199,-0.05818435541960487
2003-06-01,13718247642.0094,0.009505100936874067
2003-07-01,14700447508.0556,0.07159805622974824
2003-08-01,14218138725.5695,-0.032809122458469564
2003-09-01,14804715900.956,0.041255552974146736
2003-10-01,16093823004.481699,0.08707408586222565
2003-11-01,15940898943.8319,-0.009502034451802643
2003-12-01,16638489996.248701,0.043761086176807185
2004-01-01,16525322078.5001,-0.006801573807125316
2004-02-01,18847300701.2849,0.1405103399349632
2004-03-01,17917700864.5821,-0.04932270415993445
2004-04-01,18392174797.5026,0.02648073748448354
2004-05-01,18325601426.7279,-0.0036196573546996014
2004-06-01,18594293137.1144,0.014662095072885961
2004-07-01,18466609223.511898,-0.006866833423618712
2004-08-01,18635066916.4061,0.009122286114102707
2004-09-01,18509113889.650097,-0.006758925380896619
2004-10-01,20647979783.753498,0.11555744412483238
2004-11-01,19790724806.3405,-0.04151761995076697
2004-12-01,19838745337.370197,0.0024264159852454004
2005-01-01,20179866117.4096,0.017194675078409993
2005-02-01,19626452702.1493,-0.02742403800106774
2005-03-01,21388277305.434902,0.08976785718861291
2005-04-01,21148121331.348103,-0.011228392574925805
2005-05-01,21252190748.806602,0.004920976942960786
2005-06-01,21349776085.7099,0.004591777763371496
2005-07-01,21970765990.1135,0.029086483245098105
2005-08-01,22138835434.055,0.007649685223406921
2005-09-01,23061132084.2389,0.04165967324393138
2005-10-01,22958179691.0913,-0.004464325201882002
2005-11-01,23249952012.5624,0.012708861303334151
2005-12-01,23369714465.519897,0.005151083877196205
2006-01-01,23462498620.3681,0.003970273363206767
2006-02-01,25133187629.189,0.07120678133447189
2006-03-01,24421134346.4841,-0.028331196711313233
2006-04-01,24841824107.221397,0.017226462733819004
2006-05-01,25816023987.5954,0.039216116987593086
2006-06-01,26096981650.425503,0.010883072581785003
2006-07-01,26048336370.4401,-0.001864019396457972
2006-08-01,27128066012.959698,0.041451001982026225
2006-09-01,28542330095.2204,0.052132875288090075
2006-10-01,25521305598.372402,-0.10584365350584635
2006-11-01,26100531572.0737,0.0226957814312696
2006-12-01,27145655975.459297,0.04004226505884012
2007-01-01,27413852128.7295,0.00987989214600904
2007-02-01,27225885743.204403,-0.00685662068367654
2007-03-01,28173307525.969498,0.034798566030182165
2007-04-01,29461748296.5391,0.04573267690994198
2007-05-01,29411257248.5143,-0.0017137831576251594
2007-06-01,29144333578.189,-0.009075561376716945
2007-07-01,29171751685.8759,0.0009407697593546427
2007-08-01,29681018149.3663,0.017457520856965614
2007-09-01,28601454204.256603,-0.03637220056525403
2007-10-01,32028412550.620502,0.11981762612104818
2007-11-01,33082072436.8441,0.032897661866890804
2007-12-01,33491147786.5547,0.012365469258056594
2008-01-01,36045861433.7867,0.07628026556490886
2008-02-01,34842460616.5759,-0.03338527002389302
2008-03-01,36462013427.8045,0.046482159484973806
2008-04-01,37388553948.3841,0.025411117858704424
2008-05-01,38873755664.4099,0.0397234329542715
2008-06-01,38678223591.2656,-0.0050299249404222035
2008-07-01,41978372210.352196,0.08532316928411987
2008-08-01,41956346631.3355,-0.0005246887351020302
2008-09-01,39940540035.3395,-0.04804533182330217
2008-10-01,35318028920.0769,-0.11573481758565596
2008-11-01,29231097042.1456,-0.17234630765226877
2008-12-01,25305876306.7402,-0.1342823613409373
2009-01-01,25143217524.6895,-0.0064277079394154946
2009-02-01,24297736093.0704,-0.033626620411205344
2009-03-01,23105361206.0019,-0.04907349732095245
2009-04-01,24325295525.8708,0.052798755621790816
2009-05-01,23986456118.4488,-0.01392950836143525
