Date,KORPROINDMISMEI,KORPROINDMISMEIrate
2000-01-01,47.8109842486874,0.02429670259036354
2000-02-01,48.0170014167847,0.0043089924069688035
2000-03-01,48.298024835403,0.005852581592487027
2000-04-01,47.8719893324444,-0.008820971549261092
2000-05-01,49.746145512126,0.039149327316786886
2000-06-01,49.2931077589799,-0.009106992079128351
2000-07-01,51.0332527710642,0.03530199435979542
2000-08-01,51.887323943662,0.016735581728038573
2000-09-01,51.0352529377448,-0.016421563903398773
2000-10-01,50.4022001833486,-0.012404224882914372
2000-11-01,49.5511292607717,-0.01688559069804385
2000-12-01,48.9140761730144,-0.012856479706137347
2001-01-01,48.4180348362364,-0.010141075444693004
2001-02-01,48.7390615884657,0.0066303135456675655
2001-03-01,48.9760813401117,0.004863034779932773
2001-04-01,49.2891074256188,0.006391407334803034
2001-05-01,49.735144595383,0.009049406513138791
2001-06-01,49.7731477623135,0.0007641109167304538
2001-07-01,48.9300775064589,-0.016938254736883263
2001-08-01,50.1221768480707,0.02436332420389986
2001-09-01,50.6422201850154,0.0103755137874606
2001-10-01,50.5682140178348,-0.0014613531340100794
2001-11-01,50.8002333527794,0.004588244600902236
2001-12-01,49.6451370947579,-0.022738010866997338
2002-01-01,51.1572631052588,0.030458693418747185
2002-02-01,52.0443370280857,0.017340136453384947
2002-03-01,53.1564297024752,0.021368178324365328
2002-04-01,53.7084757063089,0.010385310054185082
2002-05-01,53.1794316193016,-0.00985029048115682
2002-06-01,52.354362863572,-0.0155148095909724
2002-07-01,54.0135011250938,0.03169054441260766
2002-08-01,54.560546712226,0.010127941639355154
2002-09-01,54.1595132927744,-0.0073502456191799626
2002-10-01,54.7955662971914,0.011744067953096904
2002-11-01,55.4276189682474,0.011534741107117608
2002-12-01,56.0646720560047,0.011493423308012618
2003-01-01,54.9365780481707,-0.020121298608633875
2003-02-01,55.0175847987332,0.0014745503531630177
2003-03-01,55.9836653054421,0.017559485939687036
2003-04-01,55.070589215768,-0.016309687561406272
2003-05-01,54.6855571297608,-0.006991610067919041
2003-06-01,56.1976831402617,0.027651286552916376
2003-07-01,53.9324943745312,-0.04030751161176693
2003-08-01,56.5547128927411,0.04862038273253311
2003-09-01,58.1168430702559,0.027621573828470414
2003-10-01,59.3169430785899,0.020649779735682383
2003-11-01,59.1849320776731,-0.002225519287834765
2003-12-01,60.5490457538128,0.023048327137546787
2004-01-01,60.327027252271,-0.00366675475687106
2004-02-01,63.0542545212101,0.045207387022977
2004-03-01,61.9971664305359,-0.016764738536693358
2004-04-01,62.4912076006334,0.00796877016389197
2004-05-01,63.2202683556963,0.011666613321383634
2004-06-01,61.5791315942995,-0.025959028711540322
2004-07-01,60.9460788399033,-0.010280313119173656
2004-08-01,61.7381448454038,0.01299617662985586
2004-09-01,63.2632719393283,0.024703157144477128
2004-10-01,62.9332444370364,-0.0052167314806038645
2004-11-01,63.8863238603217,0.015144291889143568
2004-12-01,63.1022585215435,-0.012272819774267418
2005-01-01,65.0724227018918,0.03122176965624246
2005-02-01,63.4392866072173,-0.025097207493813167
2005-03-01,65.4184515376281,0.031197780370147532
2005-04-01,64.7343945328777,-0.010456637059911733
2005-05-01,64.4563713642804,-0.004294829211016982
2005-06-01,65.1144262021835,0.010209306294703513
2005-07-01,65.6274689557463,0.007879095055983054
2005-08-01,65.6724727060588,0.0006857456340858548
2005-09-01,66.5125427118927,0.01279181323952816
2005-10-01,67.7206433869489,0.018163501586298203
2005-11-01,70.5888824068672,0.04235398360776754
2005-12-01,68.8607383948662,-0.0244818157346669
2006-01-01,71.5369614134511,0.038864280008714225
2006-02-01,70.4188682390199,-0.01562958717199525
2006-03-01,71.1069255771314,0.009770922982971886
2006-04-01,70.5438786565547,-0.007918313385184339
2006-05-01,71.7889824152013,0.01765006096005073
2006-06-01,71.0349195766314,-0.010503879748687384
2006-07-01,67.4266188849071,-0.05079615368370649
2006-08-01,72.2680223351946,0.07180255410035419
2006-09-01,73.9891657638136,0.02381611358667013
2006-10-01,76.2913576131344,0.031115256207507436
2006-11-01,75.6313026085507,-0.008651766402306915
2006-12-01,72.6140511709309,-0.03989421487603295
2007-01-01,73.7791482623552,0.01604506390480398
2007-02-01,74.317193099425,0.007292640939097428
2007-03-01,73.6661388449037,-0.008760479605981475
2007-04-01,75.1002583548629,0.0194678251425473
2007-05-01,75.8313192766064,0.009734466135776776
2007-06-01,75.5752979414951,-0.003376195186284736
2007-07-01,76.3443620301692,0.010176130423851681
2007-08-01,78.7375614634553,0.03134742854148653
2007-09-01,78.2195182931911,-0.006579365180170549
2007-10-01,81.4717893157763,0.041578765678339735
2007-11-01,81.5347945662139,0.0007733382434180758
2007-12-01,80.6897241436786,-0.01036453733686693
2008-01-01,82.8819068255688,0.027168052749650506
2008-02-01,82.4098674889574,-0.005695324283559788
2008-03-01,82.8849070755896,0.0057643532395661445
2008-04-01,83.5269605800483,0.007746325924853359
2008-05-01,82.7808984082007,-0.00893199233716413
2008-06-01,82.0648387365614,-0.008650059197332416
2008-07-01,81.5527960663389,-0.00623948914182626
2008-08-01,81.6348029002417,0.0010055674098050638
2008-09-01,80.992749395783,-0.007864948302053199
2008-10-01,80.3266938911576,-0.008223643592719765
2008-11-01,71.6499708309026,-0.1080179282868523
2008-12-01,63.9913326110509,-0.10688962090335608
2009-01-01,65.7214767897325,0.027037164379708933
2009-02-01,70.5348779064922,0.07323939375494493
2009-03-01,73.4651220935078,0.04154319499780268
2009-04-01,76.2413534461205,0.03778978750051021
2009-05-01,77.0924243686974,0.011162851708532928
