Date,CSUSHPINSA,CSUSHPINSArate
2000-02-01,100.57,0.005700000000000038
2000-03-01,101.465,0.008899274137416757
2000-04-01,102.54,0.0105947863795397
2000-05-01,103.70200000000001,0.011332163058318745
2000-06-01,104.855,0.011118396945092535
2000-07-01,105.72200000000001,0.008268561346621572
2000-08-01,106.522,0.007567015379958741
2000-09-01,107.135,0.00575467978445765
2000-10-01,107.728,0.005535072571988486
2000-11-01,108.291,0.005226125055695752
2000-12-01,108.791,0.0046171888707280395
2001-01-01,109.215,0.003897381217196294
2001-02-01,109.64299999999999,0.003918875612324069
2001-03-01,110.395,0.006858622985507656
2001-04-01,111.24799999999999,0.007726799220979075
2001-05-01,112.20299999999999,0.008584423989644652
2001-06-01,113.274,0.009545199326221443
2001-07-01,114.229,0.008430884404188044
2001-08-01,114.99,0.006662056045312559
2001-09-01,115.46700000000001,0.004148186798852205
2001-10-01,115.682,0.001862003862575401
2001-11-01,115.838,0.001348524403105067
2001-12-01,116.055,0.0018733058236504174
2002-01-01,116.43700000000001,0.0032915428029813842
2002-02-01,116.91799999999999,0.00413098929034561
2002-03-01,117.932,0.008672745000769755
2002-04-01,119.212,0.010853712308788177
2002-05-01,120.791,0.01324531087474412
2002-06-01,122.335,0.012782409285460039
2002-07-01,123.68700000000001,0.011051620550128982
2002-08-01,124.729,0.00842449085190844
2002-09-01,125.493,0.00612527960618614
2002-10-01,126.135,0.005115823193325708
2002-11-01,126.641,0.004011574899908776
2002-12-01,127.15,0.004019235476662386
2003-01-01,127.652,0.00394809280377495
2003-02-01,128.327,0.0052878137436154216
2003-03-01,129.31,0.007660118291552109
2003-04-01,130.49,0.00912535766762046
2003-05-01,131.841,0.01035328377653455
2003-06-01,133.226,0.010505078086482822
2003-07-01,134.64700000000002,0.010666086199390579
2003-08-01,135.965,0.009788558230038324
2003-09-01,137.077,0.008178575368660956
2003-10-01,137.97799999999998,0.0065729480510952065
2003-11-01,138.768,0.005725550450071948
2003-12-01,139.631,0.006219013028940346
2004-01-01,140.709,0.0077203486331831606
2004-02-01,142.032,0.009402383642837409
2004-03-01,144.083,0.014440407795426324
2004-04-01,146.181,0.014561051616082565
2004-05-01,148.335,0.01473515709975981
2004-06-01,150.518,0.014716688576532855
2004-07-01,152.33700000000002,0.012084933363451622
2004-08-01,153.815,0.00970217347066038
2004-09-01,155.109,0.008412703572473479
2004-10-01,156.30100000000002,0.007684918347742542
2004-11-01,157.499,0.007664698242493495
2004-12-01,158.674,0.007460364827713173
2005-01-01,160.136,0.009213859863619778
2005-02-01,161.931,0.011209222161163046
2005-03-01,164.582,0.016371170436790816
2005-04-01,167.002,0.014703916588691524
2005-05-01,169.545,0.015227362546556211
2005-06-01,172.015,0.014568403668642427
2005-07-01,174.09599999999998,0.012097782170159554
2005-08-01,175.922,0.010488466133627528
2005-09-01,177.611,0.009600845829401683
2005-10-01,178.75400000000002,0.00643541222109012
2005-11-01,179.678,0.005169115096725019
2005-12-01,180.112,0.002415432050668409
2006-01-01,180.833,0.004003064759705133
2006-02-01,181.505,0.0037161358822781487
2006-03-01,182.75400000000002,0.0068813531307678755
2006-04-01,183.65099999999998,0.004908237302603258
2006-05-01,184.382,0.003980375821531101
2006-06-01,184.551,0.0009165753706976698
2006-07-01,184.614,0.0003413690524571855
2006-08-01,184.41299999999998,-0.001088758165686321
2006-09-01,184.206,-0.00112248051926922
2006-10-01,184.06099999999998,-0.0007871621988426725
2006-11-01,183.638,-0.0022981511564099666
2006-12-01,183.235,-0.002194534900184064
2007-01-01,182.72299999999998,-0.002794225993942412
2007-02-01,182.475,-0.0013572456669384003
2007-03-01,182.196,-0.0015289765721331339
2007-04-01,182.13400000000001,-0.00034029287141312814
2007-05-01,181.888,-0.0013506539141511231
2007-06-01,181.545,-0.0018857758620690612
2007-07-01,181.0,-0.0030020105208073966
2007-08-01,180.24200000000002,-0.004187845303867288
2007-09-01,179.12900000000002,-0.006175031346744908
2007-10-01,177.53799999999998,-0.008881867257674814
2007-11-01,175.17,-0.013337989613491197
2007-12-01,173.345,-0.01041845064794189
2008-01-01,171.083,-0.01304912169373218
2008-02-01,169.196,-0.011029734105667988
2008-03-01,167.908,-0.007612473108111417
2008-04-01,167.327,-0.003460228220215744
2008-05-01,167.025,-0.0018048491875189976
2008-06-01,166.544,-0.002879808411914375
2008-07-01,165.722,-0.004935632625612474
2008-08-01,164.28799999999998,-0.00865304546167689
2008-09-01,161.921,-0.01440762563303466
2008-10-01,159.16899999999998,-0.01699594246577041
2008-11-01,156.077,-0.01942589323297872
2008-12-01,152.55100000000002,-0.022591413212708966
2009-01-01,149.369,-0.02085859810817381
2009-02-01,147.625,-0.011675782792949008
2009-03-01,146.52200000000002,-0.007471634208297884
2009-04-01,146.95,0.0029210630485523303
2009-05-01,148.17700000000002,0.008349778836339139
2009-06-01,149.80200000000002,0.010966614251874507
2009-07-01,150.749,0.006321677948224913
2009-08-01,150.665,-0.0005572176266509521
2009-09-01,149.625,-0.006902731224902925
2009-10-01,148.585,-0.006950710108604818
2009-11-01,147.94299999999998,-0.004320759161422938
2009-12-01,146.672,-0.008591146590240739
2010-01-01,145.003,-0.011379131667939468
2010-02-01,143.056,-0.013427308400515647
2010-03-01,143.597,0.003781735823733312
2010-04-01,145.4,0.012555972617812383
2010-05-01,147.034,0.011237964236588516
2010-06-01,147.69799999999998,0.004515962294435294
2010-07-01,147.556,-0.0009614212785546972
2010-08-01,146.41899999999998,-0.007705549079671692
2010-09-01,144.602,-0.012409591651356577
