Date,TWEXBMTH,TWEXBMTHrate
2010-02-01,102.7845,0.01436209898035301
2010-03-01,101.9633,-0.007989531495507518
2010-04-01,101.4563,-0.004972377316152077
2010-05-01,104.2648,0.02768186894258906
2010-06-01,104.8328,0.005447667861061545
2010-07-01,103.2002,-0.015573370166589218
2010-08-01,102.3998,-0.007755798922870261
2010-09-01,101.3996,-0.009767597202338218
2010-10-01,98.7679,-0.025953751296849403
2010-11-01,99.0493,0.002849103808018727
2010-12-01,99.7051,0.006620945327225902
2011-01-01,98.553,-0.011555075918884827
2011-02-01,97.8022,-0.007618235873083523
2011-03-01,96.8669,-0.009563179560377999
2011-04-01,95.2627,-0.016560868573269105
2011-05-01,95.225,-0.00039574775856654476
2011-06-01,95.1999,-0.0002635862431084046
2011-07-01,94.5476,-0.006851897953674246
2011-08-01,95.0866,0.005700832173423764
2011-09-01,97.9271,0.029872768613032674
2011-10-01,98.8305,0.00922522978828133
2011-11-01,99.4638,0.006407940868456752
2011-12-01,100.4003,0.009415485835047477
2012-01-01,99.7781,-0.006197192637870663
2012-02-01,98.048,-0.017339476297905
2012-03-01,98.6425,0.006063356723237545
2012-04-01,98.9607,0.003225790100615855
2012-05-01,100.6822,0.017395794492157002
2012-06-01,102.1234,0.014314347521210413
2012-07-01,101.641,-0.004723697017529727
2012-08-01,100.7607,-0.008660875040584104
2012-09-01,99.1842,-0.01564598102236281
2012-10-01,98.8677,-0.0031910324426672743
2012-11-01,99.5355,0.006754480988229616
2012-12-01,98.9607,-0.005774824057748207
2013-01-01,98.8749,-0.0008670108436986679
2013-02-01,99.6805,0.008147669428742788
2013-03-01,100.5408,0.008630574686122161
2013-04-01,100.1874,-0.003514990929055717
2013-05-01,100.6193,0.004310921333421147
2013-06-01,101.4302,0.00805909005528771
2013-07-01,101.9848,0.005467799531106099
2013-08-01,101.8657,-0.001167821087064036
2013-09-01,101.6531,-0.002087061690048797
2013-10-01,100.6329,-0.010036093340980101
2013-11-01,101.5247,0.008861912952920825
2013-12-01,101.7099,0.0018241866265058526
2014-01-01,102.6524,0.00926655124034137
2014-02-01,102.9102,0.0025113879461171607
2014-03-01,102.8238,-0.000839566923395374
2014-04-01,102.4311,-0.003819154709318373
2014-05-01,102.107,-0.003164078097374734
2014-06-01,102.2573,0.0014719852703537484
2014-07-01,102.015,-0.002369512983425137
2014-08-01,102.9297,0.008966328481105679
2014-09-01,104.4791,0.015052992479333005
2014-10-01,105.8242,0.012874345203969018
2014-11-01,107.615,0.01692240527213995
2014-12-01,110.2102,0.024115597268038913
2015-01-01,112.5817,0.021517972020738574
2015-02-01,114.0313,0.012875982508702588
2015-03-01,116.1148,0.01827129919592263
2015-04-01,114.9416,-0.010103793831621855
2015-05-01,114.059,-0.007678682043750884
2015-06-01,114.938,0.0077065378444489685
2015-07-01,116.9247,0.01728497102785842
2015-08-01,119.1081,0.018673556571023875
2015-09-01,120.014,0.007605696002203066
2015-10-01,118.9676,-0.008718982785341667
2015-11-01,120.7741,0.015184806619617408
2015-12-01,121.9999,0.010149527092315314
2016-01-01,124.6274,0.021536902899100818
2016-02-01,123.6308,-0.007996636373702737
2016-03-01,121.1184,-0.020321796833798644
2016-04-01,119.1667,-0.01611398433268596
2016-05-01,120.4312,0.010611185843024895
2016-06-01,120.8707,0.003649386537707855
2016-07-01,121.6998,0.006859396032289133
2016-08-01,120.5713,-0.009272817210874695
2016-09-01,121.5131,0.007811145770179051
2016-10-01,122.6436,0.009303523653005463
2016-11-01,125.5546,0.023735441555857717
2016-12-01,127.5298,0.0157318011446812
2017-01-01,127.3608,-0.0013251804676239765
2017-02-01,125.5663,-0.014089892651428015
2017-03-01,125.0383,-0.0042049498949956465
2017-04-01,124.1198,-0.007345749262426038
2017-05-01,123.6334,-0.003918794583942287
2017-06-01,122.018,-0.013066048494985938
2017-07-01,120.3483,-0.013684046616073142
2017-08-01,119.0332,-0.010927449743785345
2017-09-01,117.9039,-0.009487269098033213
2017-10-01,120.0242,0.0179832897809149
2017-11-01,120.2491,0.0018737887859281432
2017-12-01,119.9313,-0.0026428472229730327
2018-01-01,117.1935,-0.022828069069542267
2018-02-01,117.5502,0.0030436841633709744
2018-03-01,118.0646,0.0043760027630748155
2018-04-01,118.1483,0.0007089339226153957
2018-05-01,121.4302,0.027777801288719317
2018-06-01,123.4234,0.016414368089651576
2018-07-01,124.0589,0.005148942583010907
2018-08-01,125.334,0.010278182379498846
2018-09-01,126.0398,0.0056313530247178445
2018-10-01,126.8761,0.006635205704864644
2018-11-01,128.2981,0.011207784602458748
2018-12-01,128.5202,0.00173112462304581
2019-01-01,126.7306,-0.013924659314255572
2019-02-01,126.8096,0.0006233695729367383
2019-03-01,127.2096,0.003154335318461543
2019-04-01,127.3554,0.0011461399139687245
2019-05-01,128.7336,0.010821684828440592
2019-06-01,128.2525,-0.003737175065406384
2019-07-01,127.8484,-0.00315081577357168
2019-08-01,130.3698,0.01972179550154718
2019-09-01,130.7506,0.0029209218699421946
2019-10-01,130.156,-0.004547589074160974
2019-11-01,129.9194,-0.0018178186176588396
2019-12-01,129.3615,-0.004294200866075348
2020-01-01,,
2020-02-01,,
2020-03-01,,
