Date,LRUNTTTTKRM156S,LRUNTTTTKRM156Srate
2012-05-01,3.2,-0.030303030303030165
2012-06-01,3.2,0.0
2012-07-01,3.1,-0.03125
2012-08-01,3.1,0.0
2012-09-01,3.2,0.032258064516129004
2012-10-01,3.1,-0.03125
2012-11-01,3.1,0.0
2012-12-01,3.1,0.0
2013-01-01,3.2,0.032258064516129004
2013-02-01,3.2,0.0
2013-03-01,3.1,-0.03125
2013-04-01,3.0,-0.032258064516129115
2013-05-01,3.1,0.03333333333333344
2013-06-01,3.1,0.0
2013-07-01,3.2,0.032258064516129004
2013-08-01,3.1,-0.03125
2013-09-01,3.0,-0.032258064516129115
2013-10-01,3.1,0.03333333333333344
2013-11-01,3.0,-0.032258064516129115
2013-12-01,3.2,0.06666666666666665
2014-01-01,3.3,0.031249999999999778
2014-02-01,3.6,0.09090909090909105
2014-03-01,3.4,-0.05555555555555558
2014-04-01,3.6,0.05882352941176472
2014-05-01,3.6,0.0
2014-06-01,3.5,-0.02777777777777779
2014-07-01,3.4,-0.02857142857142858
2014-08-01,3.4,0.0
2014-09-01,3.4,0.0
2014-10-01,3.6,0.05882352941176472
2014-11-01,3.5,-0.02777777777777779
2014-12-01,3.7,0.05714285714285716
2015-01-01,3.6,-0.027027027027027084
2015-02-01,3.6,0.0
2015-03-01,3.5,-0.02777777777777779
2015-04-01,3.6,0.028571428571428692
2015-05-01,3.8,0.05555555555555558
2015-06-01,3.8,0.0
2015-07-01,3.7,-0.02631578947368407
2015-08-01,3.5,-0.05405405405405406
2015-09-01,3.5,0.0
2015-10-01,3.5,0.0
2015-11-01,3.6,0.028571428571428692
2015-12-01,3.5,-0.02777777777777779
2016-01-01,3.6,0.028571428571428692
2016-02-01,3.8,0.05555555555555558
2016-03-01,3.7,-0.02631578947368407
2016-04-01,3.6,-0.027027027027027084
2016-05-01,3.7,0.0277777777777779
2016-06-01,3.6,-0.027027027027027084
2016-07-01,3.6,0.0
2016-08-01,3.7,0.0277777777777779
2016-09-01,3.9,0.054054054054053946
2016-10-01,3.8,-0.02564102564102566
2016-11-01,3.6,-0.05263157894736836
2016-12-01,3.5,-0.02777777777777779
2017-01-01,3.6,0.028571428571428692
2017-02-01,3.9,0.08333333333333326
2017-03-01,3.6,-0.07692307692307687
2017-04-01,3.9,0.08333333333333326
2017-05-01,3.6,-0.07692307692307687
2017-06-01,3.8,0.05555555555555558
2017-07-01,3.5,-0.07894736842105254
2017-08-01,3.7,0.05714285714285716
2017-09-01,3.6,-0.027027027027027084
2017-10-01,3.6,0.0
2017-11-01,3.7,0.0277777777777779
2017-12-01,3.7,0.0
2018-01-01,3.6,-0.027027027027027084
