Date,TOTALSA,TOTALSArate
2000-01-01,18.635,0.01708328785067148
2000-02-01,19.401,0.04110544674000516
2000-03-01,18.343,-0.05453327148085152
2000-04-01,17.939,-0.022024750586054576
2000-05-01,17.943,0.00022297786944647235
2000-06-01,17.596,-0.019339018001449104
2000-07-01,17.316,-0.0159127074335077
2000-08-01,17.531,0.01241626241626248
2000-09-01,18.654,0.06405795448063434
2000-10-01,17.514,-0.06111289803795439
2000-11-01,16.634,-0.05024551787141707
2000-12-01,16.222,-0.024768546350847576
2001-01-01,17.652,0.08815189249167799
2001-02-01,17.826,0.00985723997280763
2001-03-01,17.248,-0.03242454841243125
2001-04-01,16.872,-0.021799628942486104
2001-05-01,16.876,0.00023707918444770826
2001-06-01,17.464,0.034842379710831706
2001-07-01,16.463,-0.057317911131470334
2001-08-01,16.348,-0.0069853611127985715
2001-09-01,16.365,0.001039882554440874
2001-10-01,22.055,0.34769324778490684
2001-11-01,18.031,-0.18245295851280896
2001-12-01,16.465,-0.08685042426931389
2002-01-01,16.523,0.0035226237473429123
2002-02-01,17.304,0.04726744537916838
2002-03-01,17.109,-0.011269070735089981
2002-04-01,17.667,0.03261441346659644
2002-05-01,16.198,-0.08314937454010307
2002-06-01,16.953,0.046610692678108245
2002-07-01,18.144,0.07025305255706948
2002-08-01,18.449,0.016809964726631543
2002-09-01,16.665,-0.0966990080763186
2002-10-01,16.26,-0.024302430243024142
2002-11-01,16.52,0.0159901599015988
2002-12-01,17.866,0.08147699757869242
2003-01-01,16.706,-0.06492779581327668
2003-02-01,16.114,-0.035436370166407216
2003-03-01,16.466,0.02184435894253456
2003-04-01,16.754,0.01749058666342762
2003-05-01,16.471,-0.016891488599737436
2003-06-01,17.014,0.03296703296703285
2003-07-01,17.113,0.00581873751028561
2003-08-01,18.262,0.06714193887687725
2003-09-01,17.287,-0.05338955207534779
2003-10-01,16.49,-0.04610400879273446
2003-11-01,17.563,0.06506973923590054
2003-12-01,17.357,-0.01172920343904793
2004-01-01,16.694,-0.038197845249755114
2004-02-01,17.032,0.020246795255780548
2004-03-01,17.246,0.012564584311883342
2004-04-01,16.9,-0.020062623216977826
2004-05-01,18.187,0.07615384615384624
2004-06-01,16.174,-0.11068345521526368
2004-07-01,17.304,0.06986521577840965
2004-08-01,17.158,-0.008437355524734014
2004-09-01,17.876,0.04184636904068073
2004-10-01,17.514,-0.02025061535019035
2004-11-01,17.362,-0.008678771268699426
2004-12-01,18.102,0.042621817762930725
2005-01-01,16.888,-0.06706441277206932
2005-02-01,16.887,-5.921364282335251e-05
2005-03-01,17.417,0.031385089121809706
2005-04-01,17.754,0.019348911982545847
2005-05-01,17.414,-0.019150613946152917
2005-06-01,18.483,0.06138738945675892
2005-07-01,21.129,0.14315857815289723
2005-08-01,17.419,-0.17558805433290736
2005-09-01,16.928,-0.028187611229117615
2005-10-01,15.336,-0.09404536862003787
2005-11-01,16.524,0.07746478873239449
2005-12-01,17.174,0.039336722343258135
2006-01-01,18.081,0.05281239082333755
2006-02-01,17.072,-0.0558044355953764
2006-03-01,16.959,-0.006619025304592241
2006-04-01,17.129,0.01002417595377092
2006-05-01,16.729,-0.02335220970284324
2006-06-01,16.901,0.010281547014167058
2006-07-01,17.655,0.044612744807999594
2006-08-01,16.459,-0.06774284905126038
2006-09-01,16.975,0.03135062883528783
2006-10-01,16.866,-0.006421207658321215
2006-11-01,16.657,-0.01239179414206093
2006-12-01,17.107,0.02701566908807096
2007-01-01,16.896,-0.012334132226573868
2007-02-01,17.169,0.016157670454545414
2007-03-01,16.436,-0.04269322616343407
2007-04-01,16.617,0.011012411779021791
2007-05-01,16.661,0.0026478907143288044
2007-06-01,16.179,-0.028929836144289234
2007-07-01,15.834,-0.021323938438716827
2007-08-01,16.38,0.034482758620689724
2007-09-01,16.533,0.00934065934065953
2007-10-01,16.456,-0.004657351962741307
2007-11-01,16.354,-0.006198347107438051
2007-12-01,16.03,-0.019811666870490297
2008-01-01,15.706,-0.020212102308172275
2008-02-01,15.492,-0.013625366102126502
2008-03-01,15.116,-0.024270591272915087
2008-04-01,14.602,-0.03400370468377878
2008-05-01,14.697,0.006505958087932973
2008-06-01,14.377,-0.021773150983193768
2008-07-01,13.003,-0.0955693120957084
2008-08-01,14.119,0.08582634776590026
2008-09-01,12.962,-0.08194631347829162
2008-10-01,10.933,-0.1565344854189168
2008-11-01,10.525,-0.037318210921064576
2008-12-01,10.383,-0.013491686460807673
2009-01-01,9.786,-0.05749783299624378
2009-02-01,9.223,-0.05753116697322691
2009-03-01,9.748,0.05692291011601425
2009-04-01,9.38,-0.03775133360689353
2009-05-01,10.176,0.08486140724946689
2009-06-01,10.149,-0.0026533018867925806
2009-07-01,11.565,0.13952113508720076
2009-08-01,14.754,0.27574578469520095
2009-09-01,9.536,-0.35366680222312596
2009-10-01,10.576,0.10906040268456385
2009-11-01,11.04,0.043872919818456646
2009-12-01,11.284,0.022101449275362395
2010-01-01,10.893,-0.03465083303792982
2010-02-01,10.315,-0.05306159919214182
