Date,EXJPUS,EXJPUSrate
2000-01-01,105.296,0.026433869510246844
2000-02-01,109.3885,0.038866623613432516
2000-03-01,106.3074,-0.02816658058205379
2000-04-01,105.627,-0.0064003070341294155
2000-05-01,108.3205,0.02550010887367815
2000-06-01,106.1255,-0.020263938958922756
2000-07-01,108.2115,0.019655973352304512
2000-08-01,108.0804,-0.001211516336064089
2000-09-01,106.8375,-0.011499772391663887
2000-10-01,108.4429,0.015026559026559028
2000-11-01,109.0095,0.005224869493530848
2000-12-01,112.209,0.029350652924745146
2001-01-01,116.6719,0.03977310197934214
2001-02-01,116.2337,-0.0037558315241287277
2001-03-01,121.505,0.04535087500440915
2001-04-01,123.771,0.018649438294720433
2001-05-01,121.7682,-0.016181496473325785
2001-06-01,122.351,0.004786142851746167
2001-07-01,124.4981,0.01754869187828456
2001-08-01,121.367,-0.02514978140228641
2001-09-01,118.6117,-0.02270221724191923
2001-10-01,121.4536,0.023959693689576955
2001-11-01,122.4055,0.007837561010954008
2001-12-01,127.5945,0.04239188598551524
2002-01-01,132.6833,0.039882596820395966
2002-02-01,133.6426,0.007229998047983299
2002-03-01,131.061,-0.0193171937690525
2002-04-01,130.7718,-0.002206606084189766
2002-05-01,126.375,-0.03362192766330363
2002-06-01,123.2905,-0.02440751730959445
2002-07-01,117.8991,-0.043729241101301275
2002-08-01,118.9927,0.009275728143811168
2002-09-01,121.078,0.01752460445052506
2002-10-01,123.9077,0.02337088488412431
2002-11-01,121.6079,-0.018560589858418797
2002-12-01,121.8929,0.002343597743238668
2003-01-01,118.8133,-0.025264802133676323
2003-02-01,119.3379,0.004415330606927004
2003-03-01,118.6871,-0.005453422592487378
2003-04-01,119.895,0.010177180165325428
2003-05-01,117.3681,-0.021075941448767677
2003-06-01,118.329,0.008187062753848728
2003-07-01,118.6959,0.003100676926197199
2003-08-01,118.6624,-0.0002822338429548932
2003-09-01,114.8,-0.03254948492530074
2003-10-01,109.4955,-0.04620644599303125
2003-11-01,109.1778,-0.002901489102291932
2003-12-01,107.7377,-0.013190410504699712
2004-01-01,106.2685,-0.013636823507463092
2004-02-01,106.7079,0.004134809468469003
2004-03-01,108.5157,0.016941576022019067
2004-04-01,107.6564,-0.007918669833028691
2004-05-01,112.196,0.04216748841685214
2004-06-01,109.4336,-0.02462119861670642
2004-07-01,109.4871,0.0004888809287093565
2004-08-01,110.2336,0.00681815483285253
2004-09-01,110.0914,-0.001289987807710169
2004-10-01,108.7835,-0.011880128693067649
2004-11-01,104.699,-0.037547054470576935
2004-12-01,103.8104,-0.008487187079150638
2005-01-01,103.341,-0.00452170495441695
2005-02-01,104.9442,0.015513687694138856
2005-03-01,105.2543,0.0029549036535607698
2005-04-01,107.1938,0.018426800615271688
2005-05-01,106.5952,-0.005584278195194026
2005-06-01,108.7473,0.02018946444117553
2005-07-01,111.9535,0.029483030843064695
2005-08-01,110.6065,-0.012031781051954682
2005-09-01,111.239,0.005718470433473621
2005-10-01,114.8695,0.03263693488794406
2005-11-01,118.454,0.03120497608155337
2005-12-01,118.4624,7.091360359301468e-05
2006-01-01,115.4765,-0.02520546603816909
2006-02-01,117.8605,0.020644893116781304
2006-03-01,117.2778,-0.004943980383589119
2006-04-01,117.0695,-0.0017761247226669719
2006-05-01,111.7305,-0.045605388252277446
2006-06-01,114.625,0.025906086520690375
2006-07-01,115.767,0.009962922573609534
2006-08-01,115.9243,0.0013587637236864847
2006-09-01,117.2145,0.011129676866713956
2006-10-01,118.609,0.01189699226631502
2006-11-01,117.3205,-0.010863425203820998
2006-12-01,117.322,1.278548932215351e-05
2007-01-01,120.4471,0.026636947887011875
2007-02-01,120.5047,0.000478218238546102
2007-03-01,117.26,-0.026925920731722397
2007-04-01,118.9324,0.01426232304281072
2007-05-01,120.7732,0.015477699937107126
2007-06-01,122.6886,0.01585947875853244
2007-07-01,121.4148,-0.010382382715264482
2007-08-01,116.7335,-0.038556255085870905
2007-09-01,115.0435,-0.014477420791803697
2007-10-01,115.8661,0.007150338784894572
2007-11-01,111.0729,-0.0413684416753477
2007-12-01,112.449,0.012389160632341412
2008-01-01,107.8181,-0.04118222483081213
2008-02-01,107.03,-0.007309533371483989
2008-03-01,100.7562,-0.05861721012800147
2008-04-01,102.6777,0.01907078671089213
2008-05-01,104.3595,0.01637940857654585
2008-06-01,106.9152,0.024489385250025197
2008-07-01,106.8518,-0.0005929933255515163
2008-08-01,109.3624,0.0234960945908258
2008-09-01,106.5748,-0.025489564969312983
2008-10-01,99.9659,-0.062011845201679905
2008-11-01,96.9656,-0.030013234512969
2008-12-01,91.275,-0.058686792016962586
2009-01-01,90.1205,-0.012648589427554091
2009-02-01,92.9158,0.031017360090101587
2009-03-01,97.855,0.0531578052387216
2009-04-01,98.92,0.010883450002554751
2009-05-01,96.6445,-0.023003437120905912
2009-06-01,96.6145,-0.0003104160091881303
2009-07-01,94.367,-0.02326255375745878
2009-08-01,94.8971,0.005617429821865638
2009-09-01,91.2748,-0.03817081870784245
2009-10-01,90.3671,-0.0099446944830337
2009-11-01,89.2674,-0.012169251862680142
2009-12-01,89.9509,0.007656770556776715
2010-01-01,91.1011,0.01278697600579859
2010-02-01,90.1395,-0.010555306137906229
2010-03-01,90.7161,0.006396751701529313
2010-04-01,93.4527,0.03016664076167297
2010-05-01,91.973,-0.015833678427696563
2010-06-01,90.8059,-0.012689593685103251
2010-07-01,87.5005,-0.03640071845551873
2010-08-01,85.3727,-0.02431757532814105
2010-09-01,84.3571,-0.011896074506253074
2010-10-01,81.7285,-0.031160388396471728
