Date,DGORDER,DGORDERrate
2010-02-01,177621.0,-0.024510665407174725
2010-03-01,179916.0,0.012920769503605989
2010-04-01,186063.0,0.03416594410725016
2010-05-01,186327.0,0.0014188742522693865
2010-06-01,187821.0,0.008018161619089081
2010-07-01,190184.0,0.012581127775914247
2010-08-01,191625.0,0.007576872923064082
2010-09-01,200257.0,0.04504631441617746
2010-10-01,194567.0,-0.028413488667062836
2010-11-01,196177.0,0.00827478452152719
2010-12-01,194518.0,-0.008456648842626757
2011-01-01,203534.0,0.046350466280755453
2011-02-01,195611.0,-0.03892715713345185
2011-03-01,210937.0,0.07834937708002099
2011-04-01,201546.0,-0.0445204018261377
2011-05-01,205957.0,0.02188582259136873
2011-06-01,201861.0,-0.019887646450472696
2011-07-01,207547.0,0.028167897711791845
2011-08-01,215526.0,0.038444304181703526
2011-09-01,207678.0,-0.036413240165919625
2011-10-01,208606.0,0.00446845597511536
2011-11-01,217018.0,0.04032482287182537
2011-12-01,226369.0,0.04308859172971835
2012-01-01,224023.0,-0.010363609858240252
2012-02-01,226122.0,0.009369573659847363
2012-03-01,220455.0,-0.025061692360761056
2012-04-01,218051.0,-0.010904719784082917
2012-05-01,218474.0,0.0019399131395865243
2012-06-01,218603.0,0.0005904592766188266
2012-07-01,223677.0,0.023211026381156685
2012-08-01,203112.0,-0.09194061079145377
2012-09-01,216283.0,0.06484599629760912
2012-10-01,217712.0,0.006607084236856409
2012-11-01,218940.0,0.005640479165135659
2012-12-01,229511.0,0.04828263451173842
2013-01-01,218392.0,-0.048446479689426614
2013-02-01,229342.0,0.05013919923806731
2013-03-01,210493.0,-0.08218730106129712
2013-04-01,221382.0,0.0517309364206886
2013-05-01,230679.0,0.04199528416944465
2013-06-01,240657.0,0.04325491267085435
2013-07-01,214999.0,-0.10661647074466984
2013-08-01,222323.0,0.034065274722208105
2013-09-01,230374.0,0.03621307736941293
2013-10-01,225155.0,-0.02265446621580558
2013-11-01,238012.0,0.05710288467944302
2013-12-01,230535.0,-0.0314143824681109
2014-01-01,223000.0,-0.03268484178107445
2014-02-01,230424.0,0.033291479820627856
2014-03-01,232316.0,0.008210950248237925
2014-04-01,235841.0,0.015173298438333926
2014-05-01,231767.0,-0.017274350091799118
2014-06-01,235877.0,0.017733327005138744
2014-07-01,290623.0,0.23209554132026433
2014-08-01,237140.0,-0.18402879331642708
2014-09-01,235558.0,-0.006671164712827915
2014-10-01,231044.0,-0.01916300868575893
2014-11-01,227599.0,-0.014910579802981272
2014-12-01,224958.0,-0.011603741668460787
2015-01-01,228061.0,0.0137936859324852
2015-02-01,219271.0,-0.03854231981794343
2015-03-01,228045.0,0.04001441139047124
2015-04-01,226242.0,-0.007906334276129745
2015-05-01,217850.0,-0.037093024283731624
2015-06-01,229480.0,0.053385356896947345
2015-07-01,228826.0,-0.0028499215617918683
2015-08-01,225666.0,-0.01380961953624149
2015-09-01,220050.0,-0.024886336444125412
2015-10-01,226171.0,0.027816405362417695
2015-11-01,224077.0,-0.009258481414504915
2015-12-01,221066.0,-0.01343734519830242
2016-01-01,226398.0,0.024119493725855534
2016-02-01,217882.0,-0.03761517327891584
2016-03-01,216926.0,-0.004387696092380322
2016-04-01,225797.0,0.04089412979541418
2016-05-01,220851.0,-0.021904631150989617
2016-06-01,208990.0,-0.0537058922078687
2016-07-01,216738.0,0.03707354418871711
2016-08-01,220654.0,0.018067897646005804
2016-09-01,219736.0,-0.004160359658107238
2016-10-01,231303.0,0.05264044125678091
2016-11-01,219574.0,-0.05070837818791796
2016-12-01,224108.0,0.020649075027098007
2017-01-01,223049.0,-0.004725400253449252
2017-02-01,222023.0,-0.0045998861236768995
2017-03-01,228253.0,0.028060155929791053
2017-04-01,228086.0,-0.0007316442719262906
2017-05-01,227201.0,-0.0038801153950702716
2017-06-01,243829.0,0.07318629759552109
2017-07-01,224989.0,-0.07726726517354376
2017-08-01,229906.0,0.02185440177075315
2017-09-01,242818.0,0.05616208363418096
2017-10-01,235856.0,-0.028671680023721446
2017-11-01,238976.0,0.013228410555593317
2017-12-01,245755.0,0.028366865291912235
2018-01-01,236368.0,-0.03819657789261666
2018-02-01,248330.0,0.05060752724565076
2018-03-01,251696.0,0.013554544356300102
2018-04-01,248509.0,-0.012662100311486846
2018-05-01,250389.0,0.007565118365934431
2018-06-01,250063.0,-0.001301974128256389
2018-07-01,247899.0,-0.008653819237552152
2018-08-01,258372.0,0.04224704415911318
2018-09-01,262205.0,0.01483519886055773
2018-10-01,250552.0,-0.044442325661219306
2018-11-01,251931.0,0.005503847504709558
2018-12-01,254801.0,0.01139200812921004
2019-01-01,256134.0,0.005231533628204055
2019-02-01,249569.0,-0.025631114963261425
2019-03-01,253834.0,0.01708946223288943
2019-04-01,246609.0,-0.028463484009234374
2019-05-01,240923.0,-0.023056741643654566
2019-06-01,245231.0,0.017881231762845395
2019-07-01,250328.0,0.020784484832667927
2019-08-01,250733.0,0.0016178773449233574
2019-09-01,247059.0,-0.01465303729465206
2019-10-01,247442.0,0.0015502369879258904
2019-11-01,242247.0,-0.020994818987884023
2019-12-01,,
2020-01-01,,
2020-02-01,,
