Date,AMBNS,AMBNSrate
2000-02-01,599.635,-0.035378128684886545
2000-03-01,597.477,-0.00359885597071552
2000-04-01,599.97,0.004172545554054885
2000-05-01,603.605,0.0060586362651464665
2000-06-01,604.605,0.0016567125852171571
2000-07-01,606.986,0.0039381083517338045
2000-08-01,604.797,-0.0036063434741492317
2000-09-01,605.93,0.001873355853286185
2000-10-01,607.14,0.0019969303384879122
2000-11-01,612.538,0.008890865368778256
2000-12-01,621.247,0.014217893420489736
2001-01-01,619.575,-0.002691361085043309
2001-02-01,616.717,-0.00461283944639479
2001-03-01,619.592,0.004661781659983433
2001-04-01,623.389,0.006128226316672869
2001-05-01,629.822,0.010319399283593489
2001-06-01,631.773,0.0030977006201753365
2001-07-01,639.0,0.011439235294955497
2001-08-01,645.167,0.00965101721439754
2001-09-01,671.227,0.04039264252511354
2001-10-01,660.201,-0.016426633612771746
2001-11-01,662.221,0.003059674250720512
2001-12-01,674.751,0.018921175861230655
2002-01-01,676.691,0.002875134679311442
2002-02-01,678.846,0.0031846145434177853
2002-03-01,682.259,0.005027649864623118
2002-04-01,686.698,0.006506326776194893
2002-05-01,692.215,0.00803409941488109
2002-06-01,696.098,0.005609528831360011
2002-07-01,701.747,0.008115236647713298
2002-08-01,702.364,0.0008792342539405418
2002-09-01,704.176,0.0025798588765939545
2002-10-01,706.748,0.003652495966917302
2002-11-01,713.374,0.009375336046228533
2002-12-01,723.993,0.014885599979814312
2003-01-01,722.683,-0.0018094097594867353
2003-02-01,725.579,0.004007289503143108
2003-03-01,729.431,0.005308863679902576
2003-04-01,734.238,0.00659006814900942
2003-05-01,738.222,0.005426033520466111
2003-06-01,738.944,0.000978025580380848
2003-07-01,742.471,0.004773027455395873
2003-08-01,745.372,0.003907223312425545
2003-09-01,745.805,0.0005809179845768231
2003-10-01,749.714,0.005241316429898113
2003-11-01,755.602,0.007853661529596545
2003-12-01,763.476,0.010420830013684546
2004-01-01,760.057,-0.004478202327250602
2004-02-01,759.753,-0.0003999700022497832
2004-03-01,761.246,0.0019651123457227193
2004-04-01,765.55,0.005653888493338588
2004-05-01,769.517,0.005181895369342326
2004-06-01,774.401,0.006346838341453109
2004-07-01,781.885,0.009664243718693566
2004-08-01,781.515,-0.00047321537054678675
2004-09-01,786.259,0.006070260967479868
2004-10-01,787.783,0.0019382925982405208
2004-11-01,794.524,0.008556924939989718
2004-12-01,798.967,0.005592027427742785
2005-01-01,797.208,-0.0022015928067117274
2005-02-01,796.764,-0.0005569437336303551
2005-03-01,797.604,0.0010542644999020911
2005-04-01,799.687,0.002611571657113121
2005-05-01,799.742,6.87769089655621e-05
2005-06-01,803.894,0.005191674314966699
2005-07-01,807.557,0.004556570891187217
2005-08-01,807.746,0.00023403920713960247
2005-09-01,812.393,0.0057530461308381575
2005-10-01,812.16,-0.0002868070010451085
2005-11-01,818.136,0.007358156028368867
2005-12-01,826.827,0.010622928217313587
2006-01-01,828.699,0.002264077007644749
2006-02-01,828.605,-0.00011343081142844991
2006-03-01,830.6,0.002407661068904998
2006-04-01,832.577,0.0023802070792198204
2006-05-01,836.245,0.004405598521217913
2006-06-01,835.791,-0.0005429030965804493
2006-07-01,835.986,0.000233311916495893
2006-08-01,834.318,-0.001995248724260934
2006-09-01,834.19,-0.00015341872043983518
2006-10-01,833.211,-0.0011735935458349056
2006-11-01,841.006,0.009355373368810538
2006-12-01,849.407,0.009989227187439775
2007-01-01,847.103,-0.0027124805893995463
2007-02-01,843.383,-0.004391437640995144
2007-03-01,844.67,0.001525997085547015
2007-04-01,846.157,0.0017604508269501995
2007-05-01,848.862,0.003196806266449359
2007-06-01,850.035,0.001381850053365552
2007-07-01,852.857,0.0033198632997464284
2007-08-01,853.061,0.00023919601996591489
2007-09-01,851.416,-0.001928349789757089
2007-10-01,851.617,0.0002360773112084491
2007-11-01,858.126,0.007643107171416252
2007-12-01,859.204,0.0012562257757018358
2008-01-01,855.006,-0.0048859176633255785
2008-02-01,853.182,-0.0021333183626780494
2008-03-01,857.102,0.0045945648173542075
2008-04-01,852.832,-0.004981904137430493
2008-05-01,859.928,0.008320513301564691
2008-06-01,862.751,0.0032828329813658907
2008-07-01,872.666,0.011492307745804009
2008-08-01,871.953,-0.000817036529439763
2008-09-01,936.449,0.0739672895213388
2008-10-01,1135.793,0.212872243976981
2008-11-01,1481.97,0.30478881275021075
2008-12-01,1692.58,0.1421148876158087
2009-01-01,1737.561,0.026575405593827206
2009-02-01,1582.888,-0.08901730644276662
2009-03-01,1661.594,0.049723037890236244
2009-04-01,1781.823,0.0723576276755935
2009-05-01,1797.662,0.00888921065672621
2009-06-01,1701.768,-0.05334373202526388
2009-07-01,1695.747,-0.003538085097381072
2009-08-01,1727.451,0.018696185221026562
2009-09-01,1819.668,0.05338327975728396
2009-10-01,1964.315,0.07949087415946221
2009-11-01,2046.347,0.04176112283416855
2009-12-01,2045.522,-0.00040315743126662085
2010-01-01,2018.743,-0.013091523826192053
2010-02-01,2141.174,0.06064714527802706
2010-03-01,2097.924,-0.020199199130944034
2010-04-01,2037.644,-0.02873316669240633
2010-05-01,2032.786,-0.00238412598078952
2010-06-01,2021.411,-0.005595768565899162
2010-07-01,2017.643,-0.0018640444719060234
2010-08-01,2013.93,-0.0018402660926635228
2010-09-01,1981.158,-0.016272660916715198
2010-10-01,1987.401,0.003151187335891592
2010-11-01,1992.808,0.0027206386632592228
2010-12-01,2037.414,0.022383491033757474
2011-01-01,2065.997,0.014029058404428252
2011-02-01,2233.379,0.08101754261985872
