Date,PCE,PCErate
2010-02-01,10030.6,0.002879481693295327
2010-03-01,10089.1,0.005832153609953483
2010-04-01,10112.9,0.002358981475057087
2010-05-01,10131.0,0.0017897932343837741
2010-06-01,10151.4,0.0020136215575954353
2010-07-01,10184.7,0.0032803357172410674
2010-08-01,10228.2,0.004271112551179623
2010-09-01,10249.0,0.002033593398642841
2010-10-01,10304.7,0.005434676553810247
2010-11-01,10354.7,0.004852154841965328
2010-12-01,10392.1,0.003611886389755403
2011-01-01,10435.5,0.004176249266269583
2011-02-01,10470.1,0.0033156053854630496
2011-03-01,10550.5,0.007679009751578203
2011-04-01,10587.6,0.0035164210227003334
2011-05-01,10612.0,0.0023045827194074775
2011-06-01,10636.8,0.0023369770071617335
2011-07-01,10677.5,0.0038263387484958056
2011-08-01,10700.6,0.002163427768672399
2011-09-01,10738.1,0.003504476384501798
2011-10-01,10753.1,0.0013968951676739394
2011-11-01,10759.5,0.0005951772047130266
2011-12-01,10772.2,0.0011803522468516459
2012-01-01,10862.1,0.00834555615380328
2012-02-01,10953.5,0.008414579132948408
2012-03-01,10951.8,-0.00015520153375636614
2012-04-01,10979.7,0.002547526434010905
2012-05-01,10968.6,-0.001010956583513245
2012-06-01,10946.3,-0.0020330762358005128
2012-07-01,10977.2,0.0028228716552627375
2012-08-01,11004.1,0.00245053383376459
2012-09-01,11061.5,0.005216237584173111
2012-10-01,11099.8,0.003462459883379232
2012-11-01,11136.8,0.00333339339447547
2012-12-01,11140.5,0.0003322318798937296
2013-01-01,11202.8,0.005592208608231175
2013-02-01,11239.6,0.003284893062448724
2013-03-01,11227.1,-0.0011121392220363457
2013-04-01,11205.4,-0.0019328232580096971
2013-05-01,11244.6,0.003498313313224033
2013-06-01,11268.8,0.0021521441402982955
2013-07-01,11296.7,0.0024758625585690197
2013-08-01,11329.2,0.002876946364867683
2013-09-01,11366.9,0.0033276842142426766
2013-10-01,11419.8,0.004653863410428505
2013-11-01,11487.6,0.005937056691010412
2013-12-01,11517.9,0.0026376266583096886
2014-01-01,11503.7,-0.0012328636296545792
2014-02-01,11574.5,0.006154541582273465
2014-03-01,11644.5,0.006047777441790192
2014-04-01,11707.1,0.005375928549959275
2014-05-01,11750.9,0.0037413193702966474
2014-06-01,11812.7,0.005259171637917115
2014-07-01,11858.1,0.0038433211712818327
2014-08-01,11939.1,0.006830773901383758
2014-09-01,11948.8,0.000812456550326246
2014-10-01,12018.4,0.005824852704874095
2014-11-01,12050.2,0.002645942887572472
2014-12-01,12065.0,0.0012281953826491776
2015-01-01,12039.9,-0.0020803978450062433
2015-02-01,12089.1,0.004086412677846152
2015-03-01,12145.7,0.004681903532934628
2015-04-01,12187.4,0.003433313847699182
2015-05-01,12261.1,0.00604722910546962
2015-06-01,12295.6,0.002813776904192933
2015-07-01,12357.1,0.005001789257945921
2015-08-01,12387.0,0.0024196615710805336
2015-09-01,12384.5,-0.00020182449342054376
2015-10-01,12387.3,0.00022608906294152575
2015-11-01,12422.8,0.0028658383990054492
2015-12-01,12453.8,0.0024954116624271716
2016-01-01,12480.5,0.002143923942893089
2016-02-01,12550.2,0.005584712150955573
2016-03-01,12539.9,-0.0008207040525251008
2016-04-01,12624.8,0.006770388918571957
2016-05-01,12678.1,0.004221849058995142
2016-06-01,12761.9,0.006609823238497903
2016-07-01,12779.6,0.0013869408160227525
2016-08-01,12813.0,0.0026135403299007987
2016-09-01,12874.5,0.004799812690236438
2016-10-01,12912.8,0.0029748728105944977
2016-11-01,12942.0,0.0022613220990026495
2016-12-01,13024.5,0.006374594343996343
2017-01-01,13079.4,0.004215133018542039
2017-02-01,13090.6,0.0008563083933514903
2017-03-01,13143.3,0.004025789497807519
2017-04-01,13185.7,0.0032259782550807525
2017-05-01,13201.0,0.0011603479527062532
2017-06-01,13250.8,0.003772441481705968
2017-07-01,13274.1,0.0017583843994326553
2017-08-01,13317.3,0.0032544579293509734
2017-09-01,13443.8,0.009498922454251213
2017-10-01,13501.3,0.004277064520448182
2017-11-01,13587.6,0.006391977068874954
2017-12-01,13669.9,0.006056993140804767
2018-01-01,13697.7,0.00203366520603665
2018-02-01,13712.2,0.001058571877030401
2018-03-01,13775.1,0.004587155963302836
2018-04-01,13861.5,0.006272186771783872
2018-05-01,13953.2,0.006615445658839203
2018-06-01,14004.8,0.0036980764269127775
2018-07-01,14077.2,0.0051696561179024325
2018-08-01,14128.3,0.003629983235302392
2018-09-01,14138.1,0.0006936432550272986
2018-10-01,14221.1,0.0058706615457522204
2018-11-01,14266.0,0.0031572803791548587
2018-12-01,14148.6,-0.00822935651198653
2019-01-01,14227.6,0.00558359130938757
2019-02-01,14216.6,-0.0007731451544884527
2019-03-01,14354.6,0.009706962283527742
2019-04-01,14452.5,0.006820113413121831
2019-05-01,14516.0,0.004393703511503144
2019-06-01,14565.0,0.0033755855607604524
2019-07-01,14644.4,0.005451424648128977
2019-08-01,14682.4,0.0025948485427877976
2019-09-01,14707.8,0.0017299624039666117
2019-10-01,14759.2,0.0034947442853452415
2019-11-01,14824.1,0.004397257303918822
2019-12-01,,
2020-01-01,,
2020-02-01,,
