Date,HSN1F,HSN1Frate
2000-02-01,856.0,-0.019473081328751474
2000-03-01,900.0,0.051401869158878455
2000-04-01,841.0,-0.06555555555555559
2000-05-01,857.0,0.019024970273483932
2000-06-01,793.0,-0.07467911318553089
2000-07-01,887.0,0.11853720050441363
2000-08-01,848.0,-0.04396843291995489
2000-09-01,912.0,0.07547169811320753
2000-10-01,933.0,0.023026315789473673
2000-11-01,880.0,-0.05680600214362275
2000-12-01,983.0,0.11704545454545445
2001-01-01,936.0,-0.047812817904374416
2001-02-01,963.0,0.028846153846153744
2001-03-01,939.0,-0.024922118380062308
2001-04-01,909.0,-0.03194888178913735
2001-05-01,885.0,-0.02640264026402639
2001-06-01,882.0,-0.003389830508474523
2001-07-01,880.0,-0.0022675736961451642
2001-08-01,866.0,-0.015909090909090873
2001-09-01,853.0,-0.01501154734411081
2001-10-01,871.0,0.021101992966002348
2001-11-01,924.0,0.06084959816303104
2001-12-01,979.0,0.059523809523809534
2002-01-01,880.0,-0.101123595505618
2002-02-01,948.0,0.07727272727272738
2002-03-01,923.0,-0.026371308016877593
2002-04-01,936.0,0.014084507042253502
2002-05-01,978.0,0.044871794871794934
2002-06-01,957.0,-0.021472392638036797
2002-07-01,956.0,-0.0010449320794148065
2002-08-01,1014.0,0.060669456066945626
2002-09-01,1044.0,0.029585798816567976
2002-10-01,1006.0,-0.036398467432950166
2002-11-01,1024.0,0.017892644135188762
2002-12-01,1048.0,0.0234375
2003-01-01,999.0,-0.0467557251908397
2003-02-01,936.0,-0.06306306306306309
2003-03-01,999.0,0.06730769230769229
2003-04-01,1012.0,0.013013013013013053
2003-05-01,1078.0,0.0652173913043479
2003-06-01,1193.0,0.10667903525046385
2003-07-01,1168.0,-0.02095557418273264
2003-08-01,1206.0,0.03253424657534243
2003-09-01,1131.0,-0.062189054726368154
2003-10-01,1144.0,0.011494252873563315
2003-11-01,1093.0,-0.044580419580419584
2003-12-01,1129.0,0.032936870997255285
2004-01-01,1165.0,0.03188662533215236
2004-02-01,1159.0,-0.0051502145922747156
2004-03-01,1276.0,0.1009490940465918
2004-04-01,1186.0,-0.07053291536050155
2004-05-01,1241.0,0.04637436762225966
2004-06-01,1180.0,-0.04915390813859788
2004-07-01,1088.0,-0.07796610169491525
2004-08-01,1175.0,0.07996323529411775
2004-09-01,1214.0,0.03319148936170202
2004-10-01,1305.0,0.07495881383855019
2004-11-01,1179.0,-0.096551724137931
2004-12-01,1242.0,0.05343511450381677
2005-01-01,1203.0,-0.03140096618357491
2005-02-01,1319.0,0.09642560266001654
2005-03-01,1328.0,0.006823351023502733
2005-04-01,1260.0,-0.051204819277108404
2005-05-01,1286.0,0.02063492063492056
2005-06-01,1274.0,-0.009331259720062213
2005-07-01,1389.0,0.09026687598116179
2005-08-01,1255.0,-0.09647228221742266
2005-09-01,1244.0,-0.008764940239043839
2005-10-01,1336.0,0.07395498392282951
2005-11-01,1214.0,-0.0913173652694611
2005-12-01,1239.0,0.020593080724876422
2006-01-01,1174.0,-0.05246166263115415
2006-02-01,1061.0,-0.09625212947189099
2006-03-01,1116.0,0.05183788878416595
2006-04-01,1123.0,0.006272401433691677
2006-05-01,1086.0,-0.03294746215494215
2006-06-01,1074.0,-0.011049723756906049
2006-07-01,965.0,-0.1014897579143389
2006-08-01,1035.0,0.07253886010362698
2006-09-01,1016.0,-0.018357487922705307
2006-10-01,941.0,-0.07381889763779526
2006-11-01,1003.0,0.06588735387885225
2006-12-01,998.0,-0.004985044865403743
2007-01-01,891.0,-0.10721442885771548
2007-02-01,828.0,-0.07070707070707072
2007-03-01,833.0,0.006038647342995196
2007-04-01,887.0,0.06482593037214879
2007-05-01,842.0,-0.050732807215332576
2007-06-01,793.0,-0.05819477434679332
2007-07-01,778.0,-0.018915510718789386
2007-08-01,699.0,-0.10154241645244211
2007-09-01,686.0,-0.01859799713876964
2007-10-01,727.0,0.05976676384839652
2007-11-01,641.0,-0.1182943603851444
2007-12-01,619.0,-0.03432137285491421
2008-01-01,627.0,0.01292407108239102
2008-02-01,593.0,-0.054226475279106845
2008-03-01,535.0,-0.09780775716694767
2008-04-01,536.0,0.0018691588785046953
2008-05-01,504.0,-0.05970149253731338
2008-06-01,487.0,-0.03373015873015872
2008-07-01,477.0,-0.02053388090349073
2008-08-01,435.0,-0.08805031446540879
2008-09-01,433.0,-0.0045977011494252595
2008-10-01,393.0,-0.09237875288683606
2008-11-01,389.0,-0.010178117048346036
2008-12-01,377.0,-0.03084832904884316
2009-01-01,336.0,-0.10875331564986734
2009-02-01,372.0,0.1071428571428572
2009-03-01,339.0,-0.08870967741935487
2009-04-01,337.0,-0.005899705014749235
2009-05-01,376.0,0.11572700296735916
2009-06-01,393.0,0.04521276595744683
2009-07-01,411.0,0.04580152671755733
2009-08-01,418.0,0.017031630170316392
2009-09-01,386.0,-0.07655502392344493
2009-10-01,396.0,0.02590673575129543
2009-11-01,375.0,-0.05303030303030298
2009-12-01,352.0,-0.06133333333333335
2010-01-01,345.0,-0.019886363636363646
2010-02-01,336.0,-0.02608695652173909
2010-03-01,381.0,0.1339285714285714
2010-04-01,422.0,0.1076115485564304
2010-05-01,280.0,-0.3364928909952607
2010-06-01,305.0,0.08928571428571419
2010-07-01,283.0,-0.0721311475409836
2010-08-01,282.0,-0.0035335689045936647
2010-09-01,317.0,0.12411347517730498
2010-10-01,291.0,-0.082018927444795
2010-11-01,287.0,-0.013745704467353903
2010-12-01,326.0,0.13588850174216027
2011-01-01,307.0,-0.05828220858895705
2011-02-01,270.0,-0.12052117263843654
