Date,LREMTTTTUSM156S,LREMTTTTUSM156Srate
2011-10-01,58.4,0.0
2011-11-01,58.6,0.0034246575342467
2011-12-01,58.6,0.0
2012-01-01,58.4,-0.0034129692832765013
2012-02-01,58.5,0.001712328767123239
2012-03-01,58.5,0.0
2012-04-01,58.4,-0.0017094017094017033
2012-05-01,58.5,0.001712328767123239
2012-06-01,58.6,0.0017094017094017033
2012-07-01,58.5,-0.0017064846416382506
2012-08-01,58.4,-0.0017094017094017033
2012-09-01,58.7,0.005136986301369939
2012-10-01,58.8,0.0017035775127767216
2012-11-01,58.7,-0.00170068027210879
2012-12-01,58.7,0.0
2013-01-01,58.6,-0.0017035775127768327
2013-02-01,58.6,0.0
2013-03-01,58.5,-0.0017064846416382506
2013-04-01,58.6,0.0017094017094017033
2013-05-01,58.6,0.0
2013-06-01,58.6,0.0
2013-07-01,58.7,0.0017064846416381396
2013-08-01,58.7,0.0
2013-09-01,58.7,0.0
2013-10-01,58.3,-0.006814310051107442
2013-11-01,58.6,0.005145797598627766
2013-12-01,58.7,0.0017064846416381396
2014-01-01,58.8,0.0017035775127767216
2014-02-01,58.7,-0.00170068027210879
2014-03-01,58.9,0.0034071550255536653
2014-04-01,58.9,0.0
2014-05-01,58.9,0.0
2014-06-01,59.0,0.0016977928692700761
2014-07-01,59.0,0.0
2014-08-01,59.0,0.0
2014-09-01,59.1,0.0016949152542373724
2014-10-01,59.3,0.0033840947546530664
2014-11-01,59.2,-0.001686340640809303
2014-12-01,59.3,0.0016891891891890332
2015-01-01,59.3,0.0
2015-02-01,59.2,-0.001686340640809303
2015-03-01,59.2,0.0
2015-04-01,59.3,0.0016891891891890332
2015-05-01,59.4,0.001686340640809414
2015-06-01,59.3,-0.0016835016835017313
2015-07-01,59.3,0.0
2015-08-01,59.4,0.001686340640809414
2015-09-01,59.2,-0.0033670033670032407
2015-10-01,59.3,0.0016891891891890332
2015-11-01,59.4,0.001686340640809414
2015-12-01,59.6,0.0033670033670034627
2016-01-01,59.7,0.001677852348993314
2016-02-01,59.8,0.0016750418760467234
2016-03-01,59.8,0.0
2016-04-01,59.7,-0.0016722408026754731
2016-05-01,59.7,0.0
2016-06-01,59.6,-0.0016750418760469454
2016-07-01,59.7,0.001677852348993314
2016-08-01,59.8,0.0016750418760467234
2016-09-01,59.8,0.0
2016-10-01,59.7,-0.0016722408026754731
2016-11-01,59.8,0.0016750418760467234
2016-12-01,59.8,0.0
2017-01-01,59.9,0.0016722408026756952
2017-02-01,59.9,0.0
2017-03-01,60.1,0.0033388981636059967
2017-04-01,60.2,0.0016638935108153063
2017-05-01,60.0,-0.0033222591362126463
2017-06-01,60.1,0.0016666666666667052
2017-07-01,60.1,0.0
2017-08-01,60.1,0.0
2017-09-01,60.4,0.004991680532445919
2017-10-01,60.2,-0.0033112582781456013
2017-11-01,60.1,-0.0016611295681063787
2017-12-01,60.2,0.0016638935108153063
2018-01-01,60.2,0.0
2018-02-01,60.4,0.0033222591362125353
2018-03-01,60.4,0.0
2018-04-01,60.3,-0.0016556291390729116
2018-05-01,60.4,0.0016583747927032544
2018-06-01,60.4,0.0
2018-07-01,60.5,0.0016556291390728006
2018-08-01,60.3,-0.0033057851239669533
2018-09-01,60.4,0.0016583747927032544
2018-10-01,60.6,0.0033112582781458233
2018-11-01,60.6,0.0
2018-12-01,60.6,0.0
2019-01-01,60.7,0.0016501650165017256
2019-02-01,60.7,0.0
2019-03-01,60.6,-0.0016474464579900872
2019-04-01,60.6,0.0
2019-05-01,60.6,0.0
2019-06-01,60.6,0.0
2019-07-01,60.7,0.0016501650165017256
2019-08-01,60.9,0.0032948929159801743
2019-09-01,61.0,0.0016420361247948545
2019-10-01,61.0,0.0
2019-11-01,61.0,0.0
2019-12-01,,
2020-01-01,,
2020-02-01,,
