Date,Open,High,Low,Close,Adj Close,Volume,LM4DN,LM4DN
2009-01-01,8772.25,9088.05957,7909.029785,8000.859863,8000.859863,6261980000,-0.098403513,1
2009-02-01,8000.620117,8315.070313,7033.620117,7062.930176,7062.930176,7134360000,-0.120865631,1
2009-03-01,7056.47998,7931.330078,6469.950195,7608.919922,7608.919922,10561060000,-0.083119315,1
2009-04-01,7606.129883,8307.509766,7483.870117,8168.120117,8168.120117,7795900000,-0.016073847,0
2009-05-01,8167.410156,8591.929688,8099.310059,8500.330078,8500.330078,6734390000,-0.008338028,0
2009-06-01,8501.530273,8877.929688,8259.429688,8447,8447,5524080000,-0.028477295,0
2009-07-01,8447.530273,9246.429688,8087.189941,9171.610352,9171.610352,4902340000,-0.042656294,1
2009-08-01,9173.650391,9630.200195,9116.519531,9496.280273,9496.280273,4042210000,-0.006227713,0
2009-09-01,9492.320313,9917.990234,9252.929688,9712.280273,9712.280273,4478480000,-0.0252194,0
2009-10-01,9711.599609,10119.46973,9430.080078,9712.730469,9712.730469,5151150000,-0.028987967,0
2009-11-01,9712.129883,10495.61035,9678.950195,10344.83984,10344.83984,3813550000,-0.003416314,0
2009-12-01,10343.82031,10580.33008,10235.62988,10428.04981,10428.04981,4174040000,-0.010459427,0
2010-01-01,10430.69043,10729.88965,10043.75,10067.33008,10067.33008,4424700000,-0.037096339,0
2010-02-01,10068.99023,10438.54981,9835.089844,10325.25977,10325.25977,4279660000,-0.023229776,0
2010-03-01,10326.09961,10955.48047,10326.09961,10856.62988,10856.62988,4388530000,0,0
2010-04-01,10857.30957,11258.00977,10844.08984,11008.61035,11008.61035,4237550000,-0.001217588,0
2010-05-01,11009.59961,11177.66992,9774.480469,10136.62988,10136.62988,5605690000,-0.112185655,1
2010-06-01,10133.94043,10594.16016,9753.839844,9774.019531,9774.019531,4941680000,-0.037507679,0
2010-07-01,9773.269531,10584.99023,9614.320313,10465.94043,10465.94043,4243320000,-0.016263669,0
2010-08-01,10468.82031,10719.94043,9936.620117,10014.71973,10014.71973,4117550000,-0.050836692,1
2010-09-01,10016.00977,10948.87988,10016.00977,10788.04981,10788.04981,3764970000,0,0
2010-10-01,10789.71973,11247.59961,10711.12012,11118.49023,11118.49023,3787250000,-0.007284676,0
2010-11-01,11120.29981,11451.53027,10929.28027,11006.01953,11006.01953,3808130000,-0.017177552,0
2010-12-01,11007.23047,11625,11007.23047,11577.50977,11577.50977,3252900000,0,0
2011-01-01,11577.42969,12020.51953,11573.87012,11891.92969,11891.92969,3681720000,-0.000307458,0
2011-02-01,11892.5,12391.29004,11892.5,12226.33984,12226.33984,3220480000,0,0
2011-03-01,12226.49023,12383.45996,11555.48047,12319.73047,12319.73047,3851830000,-0.054881634,1
2011-04-01,12321.01953,12832.83008,12093.88965,12810.54004,12810.54004,3321090000,-0.018434342,0
2011-05-01,12810.16016,12876,12309.51953,12569.79004,12569.79004,3578020000,-0.039081527,0
2011-06-01,12569.41016,12569.49023,11862.53027,12414.33984,12414.33984,3876460000,-0.056238111,1
2011-07-01,12414.33984,12753.88965,12083.4502,12143.24023,12143.24023,3092480000,-0.026653826,0
2011-08-01,12144.21973,12282.41992,10604.07031,11613.53027,11613.53027,6203230000,-0.126821603,1
2011-09-01,11613.29981,11716.83984,10597.13965,10913.37988,10913.37988,4396520000,-0.087499692,1
2011-10-01,10912.09961,12284.30957,10404.49023,11955.00977,11955.00977,3907730000,-0.04651803,1
2011-11-01,11951.53027,12187.50977,11231.42969,12045.67969,12045.67969,3263110000,-0.060251748,1
2011-12-01,12046.20996,12328.46973,11735.19043,12217.55957,12217.55957,3071480000,-0.02581887,0
2012-01-01,12221.19043,12841.9502,12221.19043,12632.91016,12632.91016,2981080000,0,0
2012-02-01,12632.75977,13055.75,12632.75977,12952.07031,12952.07031,2712170000,0,0
2012-03-01,12952.29004,13289.08008,12734.86035,13212.04004,13212.04004,3203390000,-0.016786969,0
2012-04-01,13211.36035,13297.11035,12710.55957,13213.62988,13213.62988,2574900000,-0.037906829,0
2012-05-01,13214.16016,13338.66016,12311.55957,12393.4502,12393.4502,3050000000,-0.068305558,1
2012-06-01,12391.55957,12898.94043,12035.08984,12880.08984,12880.08984,2923670000,-0.02876714,0
2012-07-01,12879.70996,13128.63965,12492.25,13008.67969,13008.67969,2578110000,-0.030082973,0
2012-08-01,13007.46973,13330.75977,12778.90039,13090.83984,13090.83984,2267280000,-0.01757216,0
2012-09-01,13092.15039,13653.24023,12977.08984,13437.12988,13437.12988,2701270000,-0.008788514,0
2012-10-01,13437.66016,13661.87012,13017.37012,13096.45996,13096.45996,2472600000,-0.031277025,0
2012-11-01,13099.19043,13290.75,12471.49023,13025.58008,13025.58008,2683930000,-0.047919007,1
2012-12-01,13027.73047,13365.86035,12883.88965,13104.13965,13104.13965,2666750000,-0.011041127,0
2013-01-01,13104.29981,13969.99023,13104.29981,13860.58008,13860.58008,2786680000,0,0
2013-02-01,13860.58008,14149.15039,13784.00977,14054.49023,14054.49023,2487580000,-0.005524322,0
2013-03-01,14054.49023,14585.09961,13937.59961,14578.54004,14578.54004,2546320000,-0.008316959,0
2013-04-01,14578.54004,14887.50977,14434.42969,14839.79981,14839.79981,2920230000,-0.009885102,0
2013-05-01,14839.79981,15542.40039,14687.04981,15115.57031,15115.57031,2771510000,-0.010293266,0
2013-06-01,15123.54981,15340.08984,14551.26953,14909.59961,14909.59961,2929040000,-0.03784034,0
2013-07-01,14911.59961,15634.32031,14858.92969,15499.54004,15499.54004,2623130000,-0.003532144,0
2013-08-01,15503.84961,15658.42969,14760.41016,14810.30957,14810.30957,2327660000,-0.047951926,1
2013-09-01,14801.54981,15709.58008,14777.48047,15129.66992,15129.66992,2371540000,-0.001626136,0
2013-10-01,15132.49023,15721,14719.42969,15545.75,15545.75,2206620000,-0.02729627,0
2013-11-01,15558.00977,16174.50977,15522.17969,16086.41016,16086.41016,1820260000,-0.002302999,0
2013-12-01,16087.12012,16588.25,15703.79004,16576.66016,16576.66016,2057160000,-0.023828384,0
2014-01-01,16572.16992,16573.07031,15617.54981,15698.84961,15698.84961,2177040000,-0.057603809,1
2014-02-01,15697.69043,16398.94922,15340.69043,16321.70996,16321.70996,2067820000,-0.022742199,0
2014-03-01,16321.70996,16505.69922,16046.99023,16457.66016,16457.66016,2095940000,-0.016831553,0
2014-04-01,16458.05078,16631.63086,16015.32031,16580.83984,16580.83984,1986960000,-0.026900541,0
2014-05-01,16580.25977,16735.50977,16341.29981,16717.16992,16717.16992,1643160000,-0.014412317,0
2014-06-01,16716.84961,16978.01953,16673.65039,16826.59961,16826.59961,1755480000,-0.002584172,0
2014-07-01,16828.5293,17151.56055,16563.30078,16563.30078,16563.30078,1690880000,-0.015760647,0
2014-08-01,16561.69922,17153.80078,16333.78027,17098.44922,17098.44922,1482600000,-0.013761809,0
2014-09-01,17097.41992,17350.64063,16934.42969,17042.90039,17042.90039,1870550000,-0.009533031,0
2014-10-01,17040.46094,17395.53906,15855.12012,17390.51953,17390.51953,2903240000,-0.069560373,1
2014-11-01,17390.90039,17894.83008,17278.35938,17828.24023,17828.24023,1516490000,-0.006471259,0
2014-12-01,17827.26953,18103.44922,17067.58984,17823.07031,17823.07031,2216900000,-0.042613351,1
2015-01-01,17823.07031,17951.7793,17136.30078,17164.94922,17164.94922,2173260000,-0.038532616,0
2015-02-01,17169.99023,18244.38086,17037.75977,18132.69922,18132.69922,1751250000,-0.007701255,0
2015-03-01,18134.05078,18288.63086,17579.26953,17776.11914,17776.11914,2470480000,-0.030593344,0
2015-04-01,17778.51953,18175.56055,17585.00977,17840.51953,17840.51953,2174880000,-0.01088447,0
2015-05-01,17859.26953,18351.35938,17733.11914,18010.67969,18010.67969,1832450000,-0.007063581,0
2015-06-01,18017.82031,18188.81055,17576.5,17619.50977,17619.50977,2219240000,-0.024493546,0
2015-07-01,17638.11914,18137.11914,17399.16992,17689.85938,17689.85938,2034220000,-0.013547319,0
2015-08-01,17696.74023,17704.75977,15370.33008,16528.0293,16528.0293,2726340000,-0.131459813,1
2015-09-01,16528.0293,16933.42969,15942.37012,16284.7002,16284.7002,2724080000,-0.035434302,0
2015-10-01,16278.62012,17799.96094,16013.66016,17663.53906,17663.53906,2605470000,-0.016276561,0
2015-11-01,17672.61914,17977.84961,17210.42969,17719.91992,17719.91992,2334610000,-0.026152855,0
2015-12-01,17719.7207,17901.58008,17116.73047,17425.0293,17425.0293,2521440000,-0.034029331,0
2016-01-01,17405.48047,17405.48047,15450.55957,16466.30078,16466.30078,2844080000,-0.1123164,1
2016-02-01,16453.63086,16795.98047,15503.00977,16516.5,16516.5,2491810000,-0.057775764,1
2016-03-01,16545.66992,17790.10938,16545.66992,17685.08984,17685.08984,2407750000,0,0
2016-04-01,17661.74023,18167.63086,17484.23047,17773.64063,17773.64063,2096650000,-0.010050525,0
2016-05-01,17783.7793,17934.60938,17331.07031,17787.19922,17787.19922,1879010000,-0.025456287,0
2016-06-01,17754.55078,18016,17063.08008,17929.99023,17929.99023,2350020000,-0.038946111,0
2016-07-01,17924.24023,18622.00977,17713.44922,18432.24023,18432.24023,1816520000,-0.011760109,0
2016-08-01,18434.5,18722.60938,18247.78906,18400.88086,18400.88086,1695750000,-0.010128343,0
2016-09-01,18396.57031,18551.53906,17992.21094,18308.15039,18308.15039,2101120000,-0.02198015,0
2016-10-01,18279.59961,18399.96094,17959.94922,18142.41992,18142.41992,1793690000,-0.017486728,0
2016-11-01,18158.24023,19225.28906,17883.56055,19123.58008,19123.58008,2107770000,-0.015126999,0
2016-12-01,19149.19922,19987.63086,19138.78906,19762.59961,19762.59961,5952470000,-0.000543634,0
2017-01-01,19872.85938,20125.58008,19677.93945,19864.08984,19864.08984,6482900000,-0.009808348,0
2017-02-01,19923.81055,20851.33008,19831.08984,20812.24023,20812.24023,6185580000,-0.004653764,0
2017-03-01,20957.28906,21169.10938,20412.80078,20663.2207,20663.2207,6941970000,-0.025980855,0
2017-04-01,20665.16992,21070.90039,20379.55078,20940.50977,20940.50977,5392630000,-0.013821282,0
2017-05-01,20962.73047,21112.32031,20553.44922,21008.65039,21008.65039,6613570000,-0.019524234,0
2017-06-01,21030.55078,21535.0293,20994.2207,21349.63086,21349.63086,7214590000,-0.001727491,0
2017-07-01,21392.30078,21929.80078,21279.30078,21891.11914,21891.11914,5569720000,-0.005282274,0
2017-08-01,21961.41992,22179.10938,21600.33984,21948.09961,21948.09961,6150060000,-0.016441563,0
2017-09-01,21981.76953,22419.50977,21709.63086,22405.08984,22405.08984,6342130000,-0.012380199,0
2017-10-01,22423.4707,23485.25,22416,23377.24023,23377.24023,7302910000,-0.000333164,0
2017-11-01,23442.90039,24327.82031,23242.75,24272.34961,24272.34961,7335640000,-0.008537783,0
2017-12-01,24305.40039,24876.07031,23921.90039,24719.2207,24719.2207,6589890000,-0.015778386,0
2018-01-01,24809.34961,26616.71094,24741.69922,26149.39063,26149.39063,9116920000,-0.00272681,0
2018-02-01,26083.03906,26306.69922,23360.28906,25029.19922,25029.19922,9450250000,-0.104387759,1
2018-03-01,25024.03906,25449.15039,23509.06055,24103.10938,24103.10938,8873040000,-0.060540927,1
2018-04-01,24076.59961,24858.9707,23344.51953,24163.15039,24163.15039,8064550000,-0.03040629,0
2018-05-01,24117.28906,25086.49023,23531.31055,24415.83984,24415.83984,7278020000,-0.024297031,0
2018-06-01,24542.08984,25402.83008,23997.21094,24271.41016,24271.41016,7411110000,-0.022201814,0
2018-07-01,24161.5293,25587.24023,24077.56055,25415.18945,25415.18945,5408500000,-0.003475308,0
2018-08-01,25461.63086,26167.93945,24965.76953,25964.82031,25964.82031,5635410000,-0.019474846,0
2018-09-01,25916.07031,26769.16016,25754.32031,26458.31055,26458.31055,5262500000,-0.006241301,0
2018-10-01,26598.35938,26951.81055,24122.23047,25115.75977,25115.75977,8373350000,-0.093093295,1
2018-11-01,25142.08008,26277.82031,24268.74023,25538.46094,25538.46094,7226940000,-0.034736181,0
2018-12-01,25779.57031,25980.21094,21712.5293,23327.46094,23327.46094,8101540000,-0.157762172,1
2019-01-01,23058.60938,25109.61914,22638.41016,24999.66992,24999.66992,7189200000,-0.018223095,0
2019-02-01,25025.31055,26241.41992,24883.03906,25916,25916,5434540000,-0.005685104,0
2019-03-01,26019.66992,26155.98047,25208,25928.67969,25928.67969,6734060000,-0.031194474,0
2019-04-01,26075.09961,26695.96094,26062.58984,26592.91016,26592.91016,5854600000,-0.000479759,0
2019-05-01,26639.06055,26689.39063,24809.50977,24815.03906,24815.03906,6358230000,-0.068679253,1
2019-06-01,24830.16016,26907.36914,24680.57031,26599.96094,26599.96094,5544390000,-0.006024522,0
2019-07-01,26805.85938,27398.67969,26616.21094,26864.26953,26864.26953,5205170000,-0.007074887,0
2019-08-01,26879.85938,27175.58984,25339.59961,26403.2793,26403.2793,8170730000,-0.05730163,1
2019-09-01,26198.25977,27306.73047,25978.2207,26916.83008,26916.83008,5045520000,-0.008398995,0
2019-10-01,26962.53906,27204.35938,25743.46094,27046.23047,27046.23047,5658040000,-0.045213773,1
2019-11-01,27142.94922,28174.9707,27142.94922,28051.41016,28051.41016,4925180000,0,0
2019-12-01,28109.74023,28701.66016,27325.13086,28538.43945,28538.43945,5086880000,-0.027912367,0
2020-01-01,28638.9707,28988.00977,28418.63086,28956.90039,28956.90039,1569880000,-0.007693707,0
2020-01-09,28852,28988.00977,28844.31055,28956.90039,28956.90039,282850650,-0.000266514,0
