,classifier,condition,columns,accuracy,precision,recall,option
0,RF,HM4UP,"['CSUSHPINSA', 'PPIACO', 'NEWORDER']",0.5970149253731343,0.2727272727272727,0.13636363636363635,n_estimators=100 max_depth=8 random_state=0
1,RF,LM4DN,"['CSUSHPINSA', 'PPIACO', 'NEWORDER']",0.6567164179104478,0.1875,0.23076923076923078,n_estimators=100 max_depth=8 random_state=0
2,RF,CM4UP,"['CSUSHPINSA', 'PPIACO', 'NEWORDER']",0.8059701492537313,0.0,0.0,n_estimators=100 max_depth=8 random_state=0
