,DJI,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,buy,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sell,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2016-08-01 20:00:00+00:00,18404.509765625,,0.0,,0.0,,,True,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"[{'limit_reached': False, 'created': Timestamp('2016-08-01 20:00:00+0000', tz='UTC'), 'stop_reached': False, 'sid': Equity(2 [DJI]), 'filled': 0, 'status': 0, 'dt': Timestamp('2016-08-01 20:00:00+0000', tz='UTC'), 'amount': 1000, 'id': 'af95365eb73a45ceb922c9243ca38f42', 'reason': None, 'stop': None, 'commission': 0, 'limit': None}]",2016-08-01 20:00:00+00:00,2016-08,2016-08-01 13:31:00+00:00,0.0,100000.0,[],0.0,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,1,[],0.0
2016-08-02 20:00:00+00:00,18313.76953125,1.02797001541576,-0.09157884765625002,,0.0,0.0,,0.0,-18322927.416015625,-18222927.416015625,18313769.53125,18313769.53125,0.0,201.59999009270098,18313769.53125,18313769.53125,1,-0.09157884765624999,201.59999009270098,201.59999009270098,"[{'limit_reached': False, 'created': Timestamp('2016-08-01 20:00:00+0000', tz='UTC'), 'stop_reached': False, 'sid': Equity(2 [DJI]), 'filled': 1000, 'status': 1, 'dt': Timestamp('2016-08-02 20:00:00+0000', tz='UTC'), 'amount': 1000, 'id': 'af95365eb73a45ceb922c9243ca38f42', 'reason': None, 'stop': None, 'commission': 1.0, 'limit': None}]",2016-08-02 20:00:00+00:00,2016-08,2016-08-02 13:31:00+00:00,-9157.884765625,90842.115234375,"[{'last_sale_price': 18313.76953125, 'sid': Equity(2 [DJI]), 'amount': 1000, 'cost_basis': 18322.927416015624}]",-0.09157884765625002,0.0,-11.224972160321824,0.0,0.0,0,-11.224972160321823,100000.0,0.0,0.0,2,"[{'dt': Timestamp('2016-08-02 20:00:00+0000', tz='UTC'), 'amount': 1000, 'price': 18322.926416015624, 'commission': None, 'order_id': 'af95365eb73a45ceb922c9243ca38f42', 'sid': Equity(2 [DJI])}]",0.0
2016-08-03 20:00:00+00:00,18355.0,4.63677944553929,0.32072583984375,,0.0,0.0,,0.0,0.0,-18222927.416015625,18355000.0,18355000.0,0.0,138.97661002961453,18355000.0,18355000.0,1,-0.09157884765624999,201.59999009270098,138.97661002961453,[],2016-08-03 20:00:00+00:00,2016-08,2016-08-03 13:31:00+00:00,41230.46875,132072.583984375,"[{'last_sale_price': 18355.0, 'sid': Equity(2 [DJI]), 'amount': 1000, 'cost_basis': 18322.927416015624}]",0.4538695366529537,0.0,6.563266213794133,0.0,0.0,0,36.25781604365478,-18222927.416015625,18313769.53125,18313769.53125,3,[],0.0
2016-08-04 20:00:00+00:00,18352.05078125,3.9526102305530024,0.29123365234375,,0.0,0.0,,0.0,0.0,-18222927.416015625,18352050.78125,18352050.78125,0.0,142.12803970790833,18352050.78125,18352050.78125,1,-0.09157884765624999,201.59999009270098,142.12803970790833,[],2016-08-04 20:00:00+00:00,2016-08,2016-08-04 13:31:00+00:00,-2949.21875,129123.365234375,"[{'last_sale_price': 18352.05078125, 'sid': Equity(2 [DJI]), 'amount': 1000, 'cost_basis': 18322.927416015624}]",-0.02233028733918707,0.0,5.418572552099847,0.0,0.0,0,28.626081206731012,-18222927.416015625,18355000.0,18355000.0,4,[],0.0
2016-08-05 20:00:00+00:00,18543.529296875,10.498010435279616,2.2060188085937504,,0.0,0.0,,0.0,0.0,-18222927.416015625,18543529.296875,18543529.296875,0.0,57.83973957722573,18543529.296875,18543529.296875,1,-0.09157884765624999,201.59999009270098,57.83973957722573,[],2016-08-05 20:00:00+00:00,2016-08,2016-08-05 13:31:00+00:00,191478.515625,320601.880859375,"[{'last_sale_price': 18543.529296875, 'sid': Equity(2 [DJI]), 'amount': 1000, 'cost_basis': 18322.927416015624}]",1.4829114411434574,0.0,8.75144308948499,0.0,0.0,0,137.28866924593265,-18222927.416015625,18352050.78125,18352050.78125,5,[],0.0
2016-08-08 20:00:00+00:00,18529.2890625,9.756643400171738,2.0636164648437507,,0.0,0.0,,0.0,0.0,-18222927.416015625,18529289.0625,18529289.0625,0.0,60.48175179605919,18529289.0625,18529289.0625,1,-0.09157884765624999,201.59999009270098,60.48175179605919,[],2016-08-08 20:00:00+00:00,2016-08,2016-08-08 13:31:00+00:00,-14240.234375,306361.646484375,"[{'last_sale_price': 18529.2890625, 'sid': Equity(2 [DJI]), 'amount': 1000, 'cost_basis': 18322.927416015624}]",-0.044417189122000655,0.0,7.65581895236656,0.0,0.0,0,110.60843507482484,-18222927.416015625,18543529.296875,18543529.296875,6,[],0.0
2016-08-09 20:00:00+00:00,18533.05078125,9.068242691566404,2.1012336523437507,,0.0,0.0,,0.0,0.0,-18222927.416015625,18533050.78125,18533050.78125,0.0,59.76025304395782,18533050.78125,18533050.78125,1,-0.09157884765624999,201.59999009270098,59.76025304395782,[],2016-08-09 20:00:00+00:00,2016-08,2016-08-09 13:31:00+00:00,3761.71875,310123.365234375,"[{'last_sale_price': 18533.05078125, 'sid': Equity(2 [DJI]), 'amount': 1000, 'cost_basis': 18322.927416015624}]",0.012278686947818862,0.0,7.109028998806925,0.0,0.0,0,103.11051983622266,-18222927.416015625,18529289.0625,18529289.0625,7,[],0.0
2016-08-10 20:00:00+00:00,18495.66015625,8.65724797030977,1.7273274023437506,,0.0,0.0,,0.0,0.0,-18222927.416015625,18495660.15625,18495660.15625,0.0,67.81606102866715,18495660.15625,18495660.15625,1,-0.14931023017296877,201.59999009270098,67.81606102866715,[],2016-08-10 20:00:00+00:00,2016-08,2016-08-10 13:31:00+00:00,-37390.625,272732.740234375,"[{'last_sale_price': 18495.66015625, 'sid': Equity(2 [DJI]), 'amount': 1000, 'cost_basis': 18322.927416015624}]",-0.1205669394556651,0.0,6.0770168322911085,0.0,0.0,0,58.822614775990694,-18222927.416015625,18533050.78125,18533050.78125,8,[],0.0
2016-08-11 20:00:00+00:00,18613.51953125,8.183917506348552,2.905921152343751,,0.0,0.0,,0.0,0.0,-18222927.416015625,18613519.53125,18613519.53125,0.0,47.6546218043366,18613519.53125,18613519.53125,1,-0.14931023017296877,201.59999009270098,47.6546218043366,[],2016-08-11 20:00:00+00:00,2016-08,2016-08-11 13:31:00+00:00,117859.375,390592.115234375,"[{'last_sale_price': 18613.51953125, 'sid': Equity(2 [DJI]), 'amount': 1000, 'cost_basis': 18322.927416015624}]",0.4321423782810845,0.0,7.192722284773589,0.0,0.0,0,69.80794055856349,-18222927.416015625,18495660.15625,18495660.15625,9,[],0.0
2016-08-12 20:00:00+00:00,18576.470703125,7.89006428082468,2.535432871093751,,0.0,0.0,,0.0,0.0,-18222927.416015625,18576470.703125,18576470.703125,0.0,52.54369515826229,18576470.703125,18576470.703125,1,-0.14931023017296877,201.59999009270098,52.54369515826229,[],2016-08-12 20:00:00+00:00,2016-08,2016-08-12 13:31:00+00:00,-37048.828125,353543.287109375,"[{'last_sale_price': 18576.470703125, 'sid': Equity(2 [DJI]), 'amount': 1000, 'cost_basis': 18322.927416015624}]",-0.09485298519855889,0.0,6.411593646725592,0.0,0.0,0,54.33998393264599,-18222927.416015625,18613519.53125,18613519.53125,10,[],0.0
