DATE,High,Low,Open,Close,Volume,Adj Close,year,month,buy,sell
2016-08-01 00:00:00,18467.0293,18355.75,18434.5,18404.50977,83470000,18404.50977,2016,8,1,0
2016-08-02 00:00:00,18403.65039,18247.78906,18401.15039,18313.76953,89680000,18313.76953,2016,8,0,0
2016-08-03 00:00:00,18355,18283.23047,18313.08008,18355,78550000,18355,2016,8,0,0
2016-08-04 00:00:00,18397.86914,18325.16992,18351.42969,18352.05078,64500000,18352.05078,2016,8,0,0
2016-08-05 00:00:00,18543.5293,18402.80078,18402.80078,18543.5293,92420000,18543.5293,2016,8,0,0
2016-08-08 00:00:00,18569.31055,18502.0293,18541.89063,18529.28906,71810000,18529.28906,2016,8,0,0
2016-08-09 00:00:00,18585.32031,18507.75,18538.05078,18533.05078,60090000,18533.05078,2016,8,0,0
2016-08-10 00:00:00,18561.75,18468.7793,18541.48047,18495.66016,62780000,18495.66016,2016,8,0,0
2016-08-11 00:00:00,18638.33984,18519.08008,18519.08008,18613.51953,71470000,18613.51953,2016,8,0,0
2016-08-12 00:00:00,18606.06055,18535.85938,18595.65039,18576.4707,61580000,18576.4707,2016,8,0,0
2016-08-15 00:00:00,18722.60938,18559.92969,18588.58984,18636.05078,62350000,18636.05078,2016,8,0,0
2016-08-16 00:00:00,18614.85938,18550.65039,18614.48047,18552.01953,67570000,18552.01953,2016,8,0,0
2016-08-17 00:00:00,18582.34961,18468.67969,18537.08984,18573.93945,71000000,18573.93945,2016,8,0,0
2016-08-18 00:00:00,18600.82031,18533.28906,18566.53906,18597.69922,70740000,18597.69922,2016,8,0,0
2016-08-19 00:00:00,18585.16992,18491.24023,18585.16992,18552.57031,93170000,18552.57031,2016,8,0,0
2016-08-22 00:00:00,18570.91992,18466.85938,18535.85938,18529.41992,73450000,18529.41992,2016,8,0,0
2016-08-23 00:00:00,18631.59961,18545.51953,18568.93945,18547.30078,73990000,18547.30078,2016,8,0,0
2016-08-24 00:00:00,18539.15039,18448.26953,18537.5,18481.48047,72270000,18481.48047,2016,8,0,0
2016-08-25 00:00:00,18497.67969,18431.46094,18471.21094,18448.41016,64480000,18448.41016,2016,8,0,0
2016-08-26 00:00:00,18572.08984,18335.33984,18467.91992,18395.40039,78730000,18395.40039,2016,8,0,0
2016-08-29 00:00:00,18523.08984,18419.91992,18421.28906,18502.99023,64480000,18502.99023,2016,8,0,0
2016-08-30 00:00:00,18514.28906,18408.51953,18491.2793,18454.30078,68920000,18454.30078,2016,8,0,0
2016-08-31 00:00:00,18439.67969,18333.56055,18436.69922,18400.88086,98250000,18400.88086,2016,8,0,1
2016-09-01 00:00:00,18430.05078,18295.48047,18396.57031,18419.30078,74780000,18419.30078,2016,9,1,0
2016-09-02 00:00:00,18544.75977,18439.09961,18466.00977,18491.96094,74350000,18491.96094,2016,9,0,0
2016-09-06 00:00:00,18551.53906,18450.32031,18493.40039,18538.11914,83710000,18538.11914,2016,9,0,0
2016-09-07 00:00:00,18536.89063,18474.76953,18527.71094,18526.14063,67570000,18526.14063,2016,9,0,0
2016-09-08 00:00:00,18506.24023,18446.68945,18486.68945,18479.91016,79060000,18479.91016,2016,9,0,0
2016-09-09 00:00:00,18404.16992,18085.44922,18404.16992,18085.44922,120670000,18085.44922,2016,9,0,0
2016-09-12 00:00:00,18358.68945,17994.83984,18028.94922,18325.07031,103260000,18325.07031,2016,9,0,0
2016-09-13 00:00:00,18262.99023,18028.06055,18262.99023,18066.75,102830000,18066.75,2016,9,0,0
2016-09-14 00:00:00,18163.48047,17992.21094,18073.39063,18034.76953,103360000,18034.76953,2016,9,0,0
2016-09-15 00:00:00,18250.10938,18015.49023,18024.91016,18212.48047,99550000,18212.48047,2016,9,0,0
2016-09-16 00:00:00,18217.21094,18070.21094,18217.21094,18123.80078,278510000,18123.80078,2016,9,0,0
2016-09-19 00:00:00,18254.88086,18093.05078,18154.82031,18120.16992,78090000,18120.16992,2016,9,0,0
2016-09-20 00:00:00,18227.21094,18128.80078,18175.35938,18129.96094,72450000,18129.96094,2016,9,0,0
2016-09-21 00:00:00,18307.42969,18121.57031,18164.96094,18293.69922,94090000,18293.69922,2016,9,0,0
2016-09-22 00:00:00,18449.88086,18343.75977,18343.75977,18392.46094,73030000,18392.46094,2016,9,0,0
2016-09-23 00:00:00,18383.75977,18254.83984,18377.35938,18261.44922,87170000,18261.44922,2016,9,0,0
2016-09-26 00:00:00,18217.75977,18083.32031,18217.75977,18094.83008,95510000,18094.83008,2016,9,0,0
2016-09-27 00:00:00,18238.09961,18052.16016,18099.21094,18228.30078,84130000,18228.30078,2016,9,0,0
2016-09-28 00:00:00,18349.85938,18179.33984,18240.2207,18339.24023,97650000,18339.24023,2016,9,0,0
2016-09-29 00:00:00,18366.23047,18091.64063,18322.88086,18143.44922,95880000,18143.44922,2016,9,0,0
2016-09-30 00:00:00,18369.61914,18181.80078,18181.80078,18308.15039,135470000,18308.15039,2016,9,0,1
2016-10-03 00:00:00,18279.80078,18203.75,18279.59961,18253.84961,68520000,18253.84961,2016,10,1,0
2016-10-04 00:00:00,18313.76953,18116.25977,18267.67969,18168.44922,79710000,18168.44922,2016,10,0,0
2016-10-05 00:00:00,18315.82031,18205.5,18205.5,18281.0293,76190000,18281.0293,2016,10,0,0
2016-10-06 00:00:00,18288.11914,18162.9707,18280.41992,18268.5,78660000,18268.5,2016,10,0,0
2016-10-07 00:00:00,18319.73047,18149.34961,18295.34961,18240.49023,82680000,18240.49023,2016,10,0,0
2016-10-10 00:00:00,18399.96094,18282.94922,18282.94922,18329.03906,72110000,18329.03906,2016,10,0,0
2016-10-11 00:00:00,18312.33008,18061.96094,18308.42969,18128.66016,88610000,18128.66016,2016,10,0,0
2016-10-12 00:00:00,18193.96094,18082.08984,18132.63086,18144.19922,72230000,18144.19922,2016,10,0,0
2016-10-13 00:00:00,18137.69922,17959.94922,18088.32031,18098.93945,83160000,18098.93945,2016,10,0,0
2016-10-14 00:00:00,18261.10938,18138.38086,18177.34961,18138.38086,87050000,18138.38086,2016,10,0,0
2016-10-17 00:00:00,18162.2793,18063.01953,18135.84961,18086.40039,75960000,18086.40039,2016,10,0,0
2016-10-18 00:00:00,18225.80078,18129.44922,18145.06055,18161.93945,74600000,18161.93945,2016,10,0,0
2016-10-19 00:00:00,18252.19922,18169.25,18178.21094,18202.61914,88040000,18202.61914,2016,10,0,0
2016-10-20 00:00:00,18249.05078,18129.07031,18161.86914,18162.34961,88830000,18162.34961,2016,10,0,0
2016-10-21 00:00:00,18168.75977,18049.76953,18152.63086,18145.71094,117810000,18145.71094,2016,10,0,0
2016-10-24 00:00:00,18275.03906,18191.17969,18197.14063,18223.0293,88540000,18223.0293,2016,10,0,0
2016-10-25 00:00:00,18241.68945,18151.69922,18206.51953,18169.26953,83190000,18169.26953,2016,10,0,0
2016-10-26 00:00:00,18236.03906,18062.30078,18103.80078,18199.33008,86340000,18199.33008,2016,10,0,0
2016-10-27 00:00:00,18253.19922,18149.19922,18234.81055,18169.67969,83530000,18169.67969,2016,10,0,0
2016-10-28 00:00:00,18257.06055,18094.9707,18193.78906,18161.18945,107850000,18161.18945,2016,10,0,0
2016-10-31 00:00:00,18193.67969,18130.58008,18176.59961,18142.41992,110080000,18142.41992,2016,10,0,1
