Date,Open,High,Low,Close,Adj Close,Volume,HM_Rate,HM4UP,HM8UP,HM10UP,HL_Rate,LM4DN,LM8DN,LM10DN,AMBNSrate,BAArate,CPIAUCSLrate,CSUSHPINSArate,DGORDERrate,EXCHUSrate,EXJPUSrate,EXKOUSrate,FEDFUNDSrate,GACDFSA066MSFRBPHIrate,HOUSTrate,HSN1Frate,INDPROrate,IR3TCD01KRM156Nrate,KORCPIALLMINMEIrate,KORPROINDMISMEIrate,LREMTTTTUSM156Srate,LRUNTTTTKRM156Srate,NEWORDERrate,PCErate,PPIACOrate,T10Y2YMrate,TCUrate,TOTALSArate,TWEXBMTHrate,UMCSENTrate,UNRATENSArate,USSLINDrate,XTEXVA01CNM667Srate,XTIMVA01KRM667Srate,predicted_K3
2016-08-01 0:00,18434.5,18722.60938,18247.78906,18400.88086,18400.88086,1695750000,0.015628814,0,0,0,-0.010128343,0,0,0,-0.011341553,-0.022964509,0.002667203,0.010367831,-0.021904631,0.007798746,-0.006424352,0.024431734,0,2.1875,-0.025,-0.014184397,-0.000856017,-0.01863354,0.000595533,0.03006012,0,0.027777778,-0.021238616,0.004221849,0.011462882,-0.048076923,-0.001313872,0.002427321,0.010611186,0.064044944,-0.042553191,-0.094339623,-0.00155255,0.02719364,0
2016-09-01 0:00,18396.57031,18551.53906,17992.21094,18308.15039,18308.15039,2101120000,0.008423785,0,0,0,-0.02198015,0,0,0,-0.003620008,-0.032051282,0.002935723,0.008797898,-0.053705892,0.009699812,-0.032129178,-0.007316638,0.027027027,-1.823529412,0.053050398,0.012589928,0.004386285,-0.094936709,-0.000198393,0.000972763,-0.001675042,-0.027027027,0.008544699,0.006609823,0.012412304,-0.080808081,0.003881156,-0.001576754,0.003649387,-0.012671595,0.133333333,0.020833333,-0.015211519,0.012801816,0
2016-10-01 0:00,18279.59961,18399.96094,17959.94922,18142.41992,18142.41992,1793690000,0.006584462,0,0,0,-0.017486728,0,0,0,-0.012465884,-0.068432671,-7.08E-05,0.006154827,0.037073544,0.013340011,-0.011009873,-0.020886759,0.026315789,-0.619047619,0.034424853,0.120781528,0.00253056,-0.048951049,-0.001885108,-0.005830904,0.001677852,0,0.012256379,0.001386941,0.000533049,-0.087912088,0.001987124,0.021319797,0.006859396,-0.037433155,0,0.027210884,0.014211862,0.007858718,0
2016-11-01 0:00,18158.24023,19225.28906,17883.56055,19123.58008,19123.58008,2107770000,0.05876389,1,0,0,-0.015126999,0,0,0,0.012704437,0.004739336,0.001882157,0.003550147,0.018067898,-0.004567851,-0.0283393,-0.027037993,0.025641026,3.0625,-0.059253247,-0.071315372,-0.000898832,-0.007352941,0.002584493,-0.009775171,0.001675042,0.027777778,0.022578404,0.00261354,-0.005860416,-0.012048193,-0.001458419,-0.01154186,-0.009272817,-0.002222222,-0.019607843,0.026490066,0.004310044,0.031483798,0
2016-12-01 0:00,19149.19922,19987.63086,19138.78906,19762.59961,19762.59961,5952470000,0.043784162,1,0,0,-0.000543634,0,0,0,-0.023836993,0.016509434,0.001866152,0.001616406,-0.00416036,0.003550688,0.005393216,-0.001490516,0,0.907692308,-0.082830026,-0.029010239,6.86E-05,-0.007407407,0.00594884,0.008884501,0,0.054054054,-0.027806085,0.004799813,0.001607717,0.048780488,-0.000496187,0.003463881,0.007811146,0.0155902,-0.04,-0.116129032,-0.03693729,-0.024357718,0
2017-01-01 0:00,19872.85938,20125.58008,19677.93945,19864.08984,19864.08984,6482450000,0.012716877,0,0,0,-0.009808348,0,0,0,-0.043217636,0.016241299,0.00265504,0.00044556,0.052640441,0.009010225,0.020859799,0.017866155,0,-0.177419355,0.246472248,0.019332162,0.001967707,0.007462687,0.001379854,-0.011741683,-0.001672241,-0.025641026,-0.000782004,0.002974873,-0.001070091,0.069767442,0.001423908,-0.005846,0.009303524,-0.043859649,-0.020833333,-0.087591241,0.037245364,0.024069392,0
2017-02-01 0:00,19923.81055,20851.33008,19831.08984,20812.24023,20812.24023,6185580000,0.04655332,1,0,0,-0.004653764,0,0,0,0.017848339,0.075342466,0.00139848,0.001194873,-0.050708378,0.016329138,0.0436494,0.030617835,0.025,-0.058823529,-0.132075472,-0.015517241,-0.001934503,0.051851852,-0.001476378,0.040594059,0.001675042,-0.052631579,0.008708684,0.002261322,-0.002142475,0.260869565,-0.002435992,-0.006048387,0.023735442,0.075688073,-0.063829787,0.368,-0.005832867,0.036294258,0
2017-03-01 0:00,20957.28906,21169.10938,20412.80078,20663.2207,20663.2207,6941970000,0.010107239,0,0,0,-0.025980855,0,0,0,-0.025493484,0.025477707,0.00306988,0.000960182,0.020649075,0.011637087,0.069668858,0.017512565,0.317073171,1.270833333,0.119130435,-0.019264448,0.008597687,0.084507042,0.001084278,-0.004757374,0,-0.027777778,-0.001782825,0.006374594,0.010198604,0.112068966,0.0081447,0.024340771,0.015731801,0.046908316,0.022727273,-0.040935673,0.022797059,0.019846825,0
2017-04-01 0:00,20665.16992,21070.90039,20379.55078,20940.50977,20940.50977,5392630000,0.019633541,0,0,0,-0.013821282,0,0,0,0.014272428,-0.035196687,0.004152044,0.001371147,-0.0047254,-0.004205324,-0.009707056,-0.003349421,0.203703704,0.19266055,-0.051282051,0.055357143,0.001054134,-0.025974026,0.010634108,0.020076482,0.001672241,0.028571429,0.031172482,0.004215133,0.013283741,-0.054263566,0.000675781,-0.028327833,-0.00132518,0.00305499,0.133333333,0.073170732,-0.00168953,0.007021829,0
2017-05-01 0:00,20962.73047,21112.32031,20553.44922,21008.65039,21008.65039,6613570000,0.00713599,0,0,0,-0.019524234,0,0,0,0.042802916,-0.004291845,0.000742473,0.001991665,-0.004599886,-0.003091123,-0.017066807,-0.03275359,0.015384615,0.453846154,0.058149058,0.020304569,-0.003772446,-0.006666667,0.002727981,-0.028116214,0,0.083333333,0.005324352,0.000856308,0.004719455,0,-0.004096971,0.006113784,-0.014089893,-0.022335025,-0.039215686,-0.136363636,0.005147627,0.062700746,0
