Date,Open,High,Low,Close,Volume,Adj Close
2008-01-01,2653.909912109375,2661.5,2202.5400390625,2389.860107421875,55211960000.0,2389.860107421875
2008-02-01,2392.580078125,2419.22998046875,2252.64990234375,2271.47998046875,45767570000.0,2271.47998046875
2008-03-01,2271.260009765625,2346.780029296875,2155.419921875,2279.10009765625,44966440000.0,2279.10009765625
2008-04-01,2306.510009765625,2451.18994140625,2266.2900390625,2412.800048828125,42726250000.0,2412.800048828125
2008-05-01,2416.489990234375,2551.469970703125,2416.489990234375,2522.659912109375,42783110000.0,2522.659912109375
2008-06-01,2514.820068359375,2549.93994140625,2290.590087890625,2292.97998046875,45968100000.0,2292.97998046875
2008-07-01,2274.239990234375,2353.389892578125,2167.2900390625,2325.550048828125,50672460000.0,2325.550048828125
2008-08-01,2326.830078125,2473.199951171875,2280.929931640625,2367.52001953125,39482890000.0,2367.52001953125
2008-09-01,2402.110107421875,2413.110107421875,1983.72998046875,2091.8798828125,51722940000.0,2091.8798828125
2008-10-01,2075.10009765625,2083.199951171875,1493.7900390625,1720.949951171875,62537120000.0,1720.949951171875
2008-11-01,1718.8900146484375,1785.8399658203125,1295.47998046875,1535.5699462890625,41933210000.0,1535.5699462890625
2008-12-01,1496.0899658203125,1602.9200439453125,1398.0699462890625,1577.030029296875,39619890000.0,1577.030029296875
2009-01-01,1578.8699951171875,1665.6300048828125,1434.0799560546875,1476.4200439453125,39995600000.0,1476.4200439453125
2009-02-01,1460.8499755859375,1598.5,1372.4200439453125,1377.8399658203125,42380620000.0,1377.8399658203125
2009-03-01,1356.1300048828125,1587.0,1265.52001953125,1528.5899658203125,49480930000.0,1528.5899658203125
2009-04-01,1504.8699951171875,1753.6099853515625,1498.5400390625,1717.300048828125,48683640000.0,1717.300048828125
2009-05-01,1719.2900390625,1774.3299560546875,1664.18994140625,1774.3299560546875,47352030000.0,1774.3299560546875
2009-06-01,1796.0899658203125,1879.9200439453125,1753.780029296875,1835.0400390625,51881250000.0,1835.0400390625
2009-07-01,1846.1199951171875,2009.81005859375,1727.050048828125,1978.5,47084360000.0,1978.5
2009-08-01,1998.3499755859375,2059.47998046875,1929.6400146484375,2009.06005859375,44011670000.0,2009.06005859375
2009-09-01,2001.300048828125,2167.699951171875,1958.0400390625,2122.419921875,49652910000.0,2122.419921875
2009-10-01,2111.77001953125,2190.639892578125,2040.2099609375,2045.1099853515625,50489640000.0,2045.1099853515625
2009-11-01,2047.4200439453125,2205.320068359375,2024.27001953125,2144.60009765625,38877300000.0,2144.60009765625
2009-12-01,2162.22998046875,2295.800048828125,2155.9599609375,2269.14990234375,39269070000.0,2269.14990234375
2010-01-01,2294.409912109375,2326.280029296875,2140.340087890625,2147.35009765625,45625830000.0,2147.35009765625
2010-02-01,2155.81005859375,2251.679931640625,2100.169921875,2238.260009765625,42835360000.0,2238.260009765625
2010-03-01,2247.39990234375,2432.25,2247.330078125,2397.9599609375,54955550000.0,2397.9599609375
2010-04-01,2411.679931640625,2535.280029296875,2383.77001953125,2461.18994140625,54528540000.0,2461.18994140625
2010-05-01,2472.320068359375,2503.0,2140.530029296875,2257.0400390625,57203120000.0,2257.0400390625
2010-06-01,2244.7900390625,2341.110107421875,2105.260009765625,2109.239990234375,48633730000.0,2109.239990234375
2010-07-01,2110.75,2307.60009765625,2061.139892578125,2254.699951171875,43910370000.0,2254.699951171875
2010-08-01,2283.320068359375,2309.429931640625,2099.2900390625,2114.030029296875,41794240000.0,2114.030029296875
2010-09-01,2142.75,2400.06005859375,2141.949951171875,2368.6201171875,41586870000.0,2368.6201171875
2010-10-01,2386.820068359375,2517.5,2332.4599609375,2507.409912109375,41539760000.0,2507.409912109375
2010-11-01,2520.449951171875,2592.93994140625,2459.7900390625,2498.22998046875,40893560000.0,2498.22998046875
2010-12-01,2535.18994140625,2675.260009765625,2535.18994140625,2652.8701171875,36306890000.0,2652.8701171875
2011-01-01,2676.64990234375,2766.169921875,2663.639892578125,2700.080078125,40221760000.0,2700.080078125
2011-02-01,2717.610107421875,2840.510009765625,2705.5400390625,2782.27001953125,39225340000.0,2782.27001953125
2011-03-01,2791.080078125,2802.320068359375,2603.5,2781.070068359375,45049990000.0,2781.070068359375
2011-04-01,2796.669921875,2876.830078125,2706.5,2873.5400390625,38024600000.0,2873.5400390625
2011-05-01,2881.280029296875,2887.75,2739.85009765625,2835.300048828125,42067110000.0,2835.300048828125
2011-06-01,2829.389892578125,2834.050048828125,2599.860107421875,2773.52001953125,42570710000.0,2773.52001953125
